cohort_month,cohort_size,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31
2024-01,5185,29.57,34.16,38.06,43.54,46.36,48.42,51.75,53.68,55.35,58.22,60.2,61.96,68.51,70.39,72.04,74.15,75.67,77.17,78.96,80.14,81.9,83.32,84.95,86.28,90.31,91.59,92.86,94.79,96.24,97.85,99.37,100.75
2024-02,5399,29.88,34.18,37.93,43.13,45.74,47.99,51.37,53.06,54.8,57.72,59.87,61.57,69.23,70.92,72.56,74.96,76.56,77.98,79.42,80.74,81.98,83.96,85.56,86.83,91.88,93.24,94.47,96.42,97.75,99.2,100.89,
2024-03,5320,28.31,32.95,37.14,42.45,45.5,47.78,51.07,52.99,55.41,58.38,60.43,62.44,69.04,70.63,72.74,74.74,76.54,78.0,79.75,81.08,82.84,84.73,86.29,87.98,92.13,93.4,95.3,97.0,98.71,100.39,,
2024-04,5414,28.58,33.54,37.96,43.73,46.78,48.98,52.73,55.45,58.01,61.14,63.0,64.85,71.78,73.72,75.4,77.87,79.4,80.72,82.55,84.64,86.12,88.25,89.84,91.44,95.99,97.98,99.55,100.99,102.49,,,
2024-05,5936,28.72,33.27,37.55,43.11,45.79,48.02,51.72,53.95,55.87,58.63,60.61,62.67,69.08,70.9,72.29,74.2,76.03,77.51,79.67,81.32,82.45,84.22,85.61,86.84,91.17,92.93,94.63,96.76,,,,
2024-06,5950,28.79,34.19,38.3,44.05,46.81,50.18,54.43,56.91,59.39,62.2,64.05,66.34,73.54,75.34,77.17,79.93,81.72,84.26,86.26,88.04,90.09,91.99,93.78,95.53,100.09,101.85,103.97,,,,,
2024-07,6796,29.89,34.74,38.55,44.15,48.02,50.87,54.6,57.36,59.7,63.02,65.14,67.07,74.48,76.35,78.45,80.99,83.62,85.46,87.28,89.36,91.28,93.59,95.36,96.89,101.48,103.44,,,,,,
2024-08,6654,29.48,34.62,38.9,45.4,49.21,52.15,56.54,59.17,61.72,64.6,66.94,69.01,76.32,78.43,80.32,83.63,85.88,87.66,90.02,91.53,93.1,95.22,96.69,98.49,103.4,,,,,,,
2024-09,6804,28.65,33.88,39.14,45.59,48.53,51.8,55.65,58.03,60.61,63.84,65.97,67.83,74.99,76.88,79.5,82.14,84.03,85.89,87.92,89.87,91.56,93.35,95.27,97.19,,,,,,,,
2024-10,7646,30.03,36.48,41.3,47.07,51.05,54.06,58.05,60.34,62.84,66.06,68.6,70.86,78.05,81.17,83.22,85.66,87.98,90.36,92.8,94.63,96.71,98.97,101.24,,,,,,,,,
2024-11,9175,32.84,38.33,42.61,48.91,52.43,55.49,59.82,62.4,65.05,68.42,70.7,73.0,81.3,83.96,86.37,89.11,91.22,93.29,95.57,97.51,99.59,101.67,,,,,,,,,,
2024-12,8832,31.37,36.48,41.19,47.2,50.85,54.08,58.57,61.23,63.77,66.84,69.2,72.22,80.2,82.58,84.81,87.62,89.78,91.81,94.11,96.18,98.02,,,,,,,,,,,
2025-01,8876,30.58,36.1,40.83,47.08,50.76,53.91,57.79,60.33,62.68,65.95,68.78,70.94,78.38,81.24,83.83,86.91,88.85,90.96,93.28,95.41,,,,,,,,,,,,
2025-02,8873,31.44,36.85,41.39,47.59,51.24,54.85,59.0,61.69,64.6,68.13,70.83,73.27,81.34,83.79,86.03,88.66,90.8,93.13,95.61,,,,,,,,,,,,,
2025-03,9185,31.8,38.13,43.28,50.16,54.36,57.66,61.91,65.0,68.18,71.66,74.14,77.09,85.19,87.82,90.29,93.13,95.27,98.13,,,,,,,,,,,,,,
2025-04,9929,32.59,38.6,43.56,49.96,53.75,57.71,62.24,65.44,68.39,71.99,74.69,77.76,86.18,88.38,90.92,93.96,96.83,,,,,,,,,,,,,,,
2025-05,10165,31.46,37.86,42.79,49.31,52.93,56.53,61.81,65.3,67.84,71.45,74.54,77.61,86.03,88.67,91.62,95.06,,,,,,,,,,,,,,,,
2025-06,10187,31.14,37.2,42.02,48.1,51.89,56.07,60.52,63.83,67.09,70.71,73.67,76.76,85.2,88.06,91.48,,,,,,,,,,,,,,,,,
2025-07,11915,31.76,38.06,42.86,49.11,53.8,57.33,61.88,65.34,68.53,72.55,75.86,78.85,88.37,91.55,,,,,,,,,,,,,,,,,,
2025-08,12531,31.6,37.93,43.14,50.24,54.87,58.56,63.21,66.81,69.95,73.81,77.22,80.46,90.4,,,,,,,,,,,,,,,,,,,
2025-09,12143,31.51,37.3,43.06,49.46,53.56,57.78,62.64,65.91,69.58,73.68,76.94,79.85,,,,,,,,,,,,,,,,,,,,
2025-10,13284,31.05,37.6,43.05,49.3,53.85,58.11,62.88,66.33,69.64,74.03,77.29,,,,,,,,,,,,,,,,,,,,,
2025-11,16480,32.03,38.44,43.62,50.57,54.98,59.08,64.14,67.85,71.4,75.5,,,,,,,,,,,,,,,,,,,,,,
