cohort_month,cohort_size,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31
2024-01,5185,0.9693,0.6953,0.6158,0.48,0.4579,0.4378,0.3979,0.3873,0.3792,0.3655,0.3661,0.3616,0.2006,0.2033,0.1977,0.188,0.184,0.1819,0.178,0.1778,0.1824,0.1824,0.1931,0.1973,0.1666,0.1686,0.1682,0.1713,0.1716,0.1718,0.1716,0.1749
2024-02,5399,0.967,0.6972,0.6175,0.4875,0.4636,0.4403,0.4053,0.3919,0.383,0.3708,0.3675,0.3643,0.2017,0.2017,0.1976,0.1911,0.1874,0.1852,0.1786,0.1789,0.1821,0.1876,0.19,0.1958,0.171,0.1713,0.1747,0.1754,0.1724,0.1741,0.1774,
2024-03,5320,0.9677,0.6778,0.5932,0.4624,0.4434,0.4201,0.3784,0.3673,0.3664,0.3526,0.347,0.3476,0.1996,0.1985,0.1962,0.1872,0.185,0.1857,0.1816,0.1814,0.1904,0.1902,0.1934,0.1976,0.1684,0.1716,0.1729,0.1711,0.1714,0.1773,,
2024-04,5414,0.9679,0.6878,0.6033,0.4767,0.4538,0.4293,0.3842,0.3798,0.3735,0.3521,0.3521,0.3491,0.2058,0.2017,0.1975,0.193,0.1878,0.1902,0.186,0.1973,0.1993,0.2013,0.2054,0.2087,0.1827,0.1842,0.1845,0.1827,0.1875,,,
2024-05,5936,0.9655,0.6808,0.6001,0.4666,0.4355,0.4154,0.3806,0.3708,0.3627,0.3506,0.3464,0.3459,0.1932,0.19,0.1858,0.1819,0.1841,0.1868,0.1939,0.1964,0.1986,0.1978,0.2006,0.2013,0.1789,0.1764,0.1794,0.1821,,,,
2024-06,5950,0.9726,0.7037,0.6163,0.4676,0.4462,0.4387,0.4029,0.3919,0.384,0.3635,0.3602,0.3582,0.2108,0.2101,0.2101,0.2106,0.2119,0.2185,0.2128,0.2165,0.224,0.2254,0.2294,0.2272,0.1978,0.1982,0.2061,,,,,
2024-07,6796,0.9672,0.6982,0.6202,0.4871,0.4747,0.4519,0.4173,0.4094,0.4027,0.3874,0.3805,0.3771,0.2132,0.2128,0.2165,0.2173,0.2213,0.2245,0.2216,0.2266,0.229,0.2279,0.227,0.2285,0.1978,0.2028,,,,,,
2024-08,6654,0.9737,0.6933,0.6052,0.4835,0.4596,0.4448,0.4059,0.3936,0.3867,0.3691,0.3626,0.3625,0.2187,0.2227,0.226,0.2335,0.2365,0.235,0.232,0.2325,0.2353,0.2338,0.2329,0.2334,0.2106,,,,,,,
2024-09,6804,0.9677,0.6975,0.6171,0.4803,0.4539,0.4431,0.4043,0.3961,0.3832,0.3627,0.362,0.362,0.2191,0.2238,0.2371,0.2359,0.2381,0.2393,0.234,0.2382,0.2375,0.2356,0.2378,0.2422,,,,,,,,
2024-10,7646,0.9728,0.6979,0.6156,0.4846,0.4723,0.4524,0.4117,0.4007,0.3924,0.3792,0.379,0.3843,0.2301,0.2454,0.252,0.2527,0.2526,0.2527,0.2523,0.2531,0.2537,0.2531,0.2546,,,,,,,,,
2024-11,9175,0.9717,0.7057,0.6231,0.5014,0.4789,0.4637,0.4252,0.4175,0.4135,0.4009,0.4016,0.4038,0.2408,0.2473,0.2528,0.2509,0.2471,0.2451,0.2436,0.2432,0.2421,0.2441,,,,,,,,,,
2024-12,8832,0.97,0.6907,0.6184,0.49,0.4748,0.4592,0.4239,0.4146,0.4066,0.3947,0.3966,0.4109,0.2492,0.2558,0.2604,0.2558,0.2536,0.2528,0.2478,0.2481,0.2536,,,,,,,,,,,
2025-01,8876,0.9669,0.6915,0.6123,0.4843,0.4615,0.4445,0.4082,0.4036,0.3993,0.3904,0.4039,0.4053,0.2475,0.2582,0.2604,0.2594,0.2553,0.2552,0.2537,0.2594,,,,,,,,,,,,
2025-02,8873,0.966,0.6987,0.6227,0.4874,0.4664,0.452,0.4241,0.4196,0.419,0.4207,0.422,0.4257,0.2606,0.2671,0.2689,0.2619,0.2586,0.2581,0.2571,,,,,,,,,,,,,
