month,usd_per_eur,usd_per_gbp
2024-01,1.091,1.271
2024-02,1.079,1.263
2024-03,1.087,1.271
2024-04,1.072,1.252
2024-05,1.081,1.264
2024-06,1.076,1.271
2024-07,1.084,1.286
2024-08,1.101,1.294
2024-09,1.111,1.322
2024-10,1.09,1.305
2024-11,1.063,1.275
2024-12,1.048,1.265
2025-01,1.035,1.236
2025-02,1.041,1.253
2025-03,1.081,1.29
2025-04,1.123,1.314
2025-05,1.128,1.337
2025-06,1.153,1.355
2025-07,1.168,1.349
2025-08,1.165,1.343
2025-09,1.173,1.349
2025-10,1.163,1.333
2025-11,1.156,1.316
2025-12,1.171,1.338
2026-01,1.172,1.346
2026-02,1.18,1.352
2026-03,1.162,1.339
2026-04,1.151,1.331
2026-05,1.158,1.34
2026-06,1.166,1.348
2026-07,1.174,1.354
2026-08,1.169,1.35
