cohort_month,months_since_first_payment,calendar_month,channel_id,first_plan_id,market_tier,cohort_size,active_subscribers,mrr_usd,net_revenue_usd,cum_net_revenue_usd,retention_rate,cum_net_revenue_per_sub_usd
2024-01,0,2024-01,CH01,P1M,Tier 1,583,565,6928.45,8921.99,8921.99,0.9691,15.3
2024-01,1,2024-02,CH01,P1M,Tier 1,583,316,3831.28,4563.95,13485.93,0.542,23.13
2024-01,2,2024-03,CH01,P1M,Tier 1,583,230,2762.42,4258.17,17744.11,0.3945,30.44
2024-01,3,2024-04,CH01,P1M,Tier 1,583,193,2239.4,3306.69,21050.8,0.331,36.11
2024-01,4,2024-05,CH01,P1M,Tier 1,583,169,1936.0,2439.2,23490.0,0.2899,40.29
2024-01,5,2024-06,CH01,P1M,Tier 1,583,143,1589.72,2115.06,25605.07,0.2453,43.92
2024-01,6,2024-07,CH01,P1M,Tier 1,583,117,1249.52,1541.58,27146.65,0.2007,46.56
2024-01,7,2024-08,CH01,P1M,Tier 1,583,106,1103.46,1308.46,28455.11,0.1818,48.81
2024-01,8,2024-09,CH01,P1M,Tier 1,583,96,970.35,1654.43,30109.54,0.1647,51.65
2024-01,9,2024-10,CH01,P1M,Tier 1,583,92,896.59,1323.59,31433.13,0.1578,53.92
2024-01,10,2024-11,CH01,P1M,Tier 1,583,92,874.02,962.41,32395.54,0.1578,55.57
2024-01,11,2024-12,CH01,P1M,Tier 1,583,85,776.93,956.62,33352.16,0.1458,57.21
2024-01,12,2025-01,CH01,P1M,Tier 1,583,85,768.34,1049.77,34401.94,0.1458,59.01
2024-01,13,2025-02,CH01,P1M,Tier 1,583,83,731.67,1421.31,35823.25,0.1424,61.45
2024-01,14,2025-03,CH01,P1M,Tier 1,583,79,684.99,1653.11,37476.36,0.1355,64.28
2024-01,15,2025-04,CH01,P1M,Tier 1,583,81,709.96,1296.54,38772.89,0.1389,66.51
2024-01,16,2025-05,CH01,P1M,Tier 1,583,76,668.64,941.96,39714.85,0.1304,68.12
2024-01,17,2025-06,CH01,P1M,Tier 1,583,75,626.11,1367.41,41082.26,0.1286,70.47
2024-01,18,2025-07,CH01,P1M,Tier 1,583,75,613.19,1135.03,42217.29,0.1286,72.41
2024-01,19,2025-08,CH01,P1M,Tier 1,583,73,584.28,504.81,42722.1,0.1252,73.28
2024-01,20,2025-09,CH01,P1M,Tier 1,583,74,571.2,712.05,43434.14,0.1269,74.5
2024-01,21,2025-10,CH01,P1M,Tier 1,583,70,514.89,624.39,44058.53,0.1201,75.57
2024-01,22,2025-11,CH01,P1M,Tier 1,583,80,568.85,842.18,44900.71,0.1372,77.02
2024-01,23,2025-12,CH01,P1M,Tier 1,583,82,592.63,665.74,45566.46,0.1407,78.16
2024-01,24,2026-01,CH01,P1M,Tier 1,583,84,582.09,1144.97,46711.43,0.1441,80.12
2024-01,25,2026-02,CH01,P1M,Tier 1,583,83,580.37,806.82,47518.25,0.1424,81.51
2024-01,26,2026-03,CH01,P1M,Tier 1,583,80,554.29,1144.1,48662.35,0.1372,83.47
2024-01,27,2026-04,CH01,P1M,Tier 1,583,85,588.12,1622.22,50284.57,0.1458,86.25
2024-01,28,2026-05,CH01,P1M,Tier 1,583,83,570.68,946.85,51231.42,0.1424,87.88
2024-01,29,2026-06,CH01,P1M,Tier 1,583,81,542.92,1097.51,52328.93,0.1389,89.76
2024-01,30,2026-07,CH01,P1M,Tier 1,583,85,575.46,830.95,53159.88,0.1458,91.18
2024-01,31,2026-08,CH01,P1M,Tier 1,583,86,571.07,847.67,54007.55,0.1475,92.64
2024-01,0,2024-01,CH01,P1M,Tier 2,79,76,886.15,904.02,904.02,0.962,11.44
2024-01,1,2024-02,CH01,P1M,Tier 2,79,36,413.08,430.9,1334.92,0.4557,16.9
2024-01,2,2024-03,CH01,P1M,Tier 2,79,29,328.04,377.3,1712.21,0.3671,21.67
2024-01,3,2024-04,CH01,P1M,Tier 2,79,26,284.07,328.38,2040.59,0.3291,25.83
2024-01,4,2024-05,CH01,P1M,Tier 2,79,20,216.6,278.06,2318.65,0.2532,29.35
2024-01,5,2024-06,CH01,P1M,Tier 2,79,19,204.36,193.99,2512.65,0.2405,31.81
2024-01,6,2024-07,CH01,P1M,Tier 2,79,15,158.65,183.84,2696.49,0.1899,34.13
2024-01,7,2024-08,CH01,P1M,Tier 2,79,13,131.0,197.83,2894.32,0.1646,36.64
2024-01,8,2024-09,CH01,P1M,Tier 2,79,12,120.25,139.87,3034.19,0.1519,38.41
2024-01,9,2024-10,CH01,P1M,Tier 2,79,12,118.2,93.15,3127.34,0.1519,39.59
2024-01,10,2024-11,CH01,P1M,Tier 2,79,13,121.55,429.1,3556.44,0.1646,45.02
2024-01,11,2024-12,CH01,P1M,Tier 2,79,11,91.58,106.89,3663.33,0.1392,46.37
2024-01,12,2025-01,CH01,P1M,Tier 2,79,10,79.53,33.06,3696.4,0.1266,46.79
