month,deferred_revenue_closing_usd
2024-01,220493.19
2024-02,292163.88
2024-03,340767.73
2024-04,391730.21
2024-05,443820.78
2024-06,486084.35
2024-07,549150.64
2024-08,588110.14
2024-09,617402.03
2024-10,677838.54
2024-11,797787.74
2024-12,864675.73
2025-01,924771.37
2025-02,1004062.05
2025-03,1063692.96
2025-04,1149418.14
2025-05,1215931.74
2025-06,1282802.33
2025-07,1397581.77
2025-08,1507118.8
2025-09,1594403.7
2025-10,1705747.24
2025-11,1973531.29
2025-12,2105938.91
2026-01,2234099.71
2026-02,2395501.13
2026-03,2471726.33
2026-04,2574439.0
2026-05,2638329.33
2026-06,2703247.25
2026-07,2881788.19
2026-08,3110663.35
