experiment_id,date,variant,metric,value
EXP01,2024-03-04,Control,paywall_viewers,5232.0
EXP01,2024-03-04,Control,paid_conversions,397.0
EXP01,2024-03-04,Control,m1_retained_subs,295.0
EXP01,2024-03-04,Treatment,paywall_viewers,5168.0
EXP01,2024-03-04,Treatment,paid_conversions,422.0
EXP01,2024-03-04,Treatment,m1_retained_subs,292.0
EXP01,2024-03-05,Control,paywall_viewers,5075.0
EXP01,2024-03-05,Control,paid_conversions,428.0
EXP01,2024-03-05,Control,m1_retained_subs,298.0
EXP01,2024-03-05,Treatment,paywall_viewers,5274.0
EXP01,2024-03-05,Treatment,paid_conversions,436.0
EXP01,2024-03-05,Treatment,m1_retained_subs,308.0
EXP01,2024-03-06,Control,paywall_viewers,5230.0
EXP01,2024-03-06,Control,paid_conversions,421.0
EXP01,2024-03-06,Control,m1_retained_subs,289.0
EXP01,2024-03-06,Treatment,paywall_viewers,5256.0
EXP01,2024-03-06,Treatment,paid_conversions,459.0
EXP01,2024-03-06,Treatment,m1_retained_subs,320.0
EXP01,2024-03-07,Control,paywall_viewers,5154.0
EXP01,2024-03-07,Control,paid_conversions,402.0
EXP01,2024-03-07,Control,m1_retained_subs,284.0
EXP01,2024-03-07,Treatment,paywall_viewers,5302.0
EXP01,2024-03-07,Treatment,paid_conversions,450.0
EXP01,2024-03-07,Treatment,m1_retained_subs,290.0
EXP01,2024-03-08,Control,paywall_viewers,5253.0
EXP01,2024-03-08,Control,paid_conversions,423.0
EXP01,2024-03-08,Control,m1_retained_subs,296.0
EXP01,2024-03-08,Treatment,paywall_viewers,5220.0
EXP01,2024-03-08,Treatment,paid_conversions,412.0
EXP01,2024-03-08,Treatment,m1_retained_subs,283.0
EXP01,2024-03-09,Control,paywall_viewers,5188.0
EXP01,2024-03-09,Control,paid_conversions,457.0
EXP01,2024-03-09,Control,m1_retained_subs,330.0
EXP01,2024-03-09,Treatment,paywall_viewers,5149.0
EXP01,2024-03-09,Treatment,paid_conversions,429.0
EXP01,2024-03-09,Treatment,m1_retained_subs,287.0
EXP01,2024-03-10,Control,paywall_viewers,5218.0
EXP01,2024-03-10,Control,paid_conversions,436.0
EXP01,2024-03-10,Control,m1_retained_subs,289.0
EXP01,2024-03-10,Treatment,paywall_viewers,5177.0
EXP01,2024-03-10,Treatment,paid_conversions,422.0
