date,country_code,device,sessions,age_checks_started,age_checks_passed,free_signups,activated_users,paywall_viewers,checkout_starts,new_paid_subscribers
2024-01-01,US,Mobile web,18902,0,0,1721,1039,652,87,55
2024-01-01,US,Desktop web,5502,0,0,656,395,229,50,28
2024-01-01,US,Tablet web,793,0,0,76,47,30,4,2
2024-01-01,GB,Mobile web,3920,0,0,390,239,144,22,15
2024-01-01,GB,Desktop web,1274,0,0,150,86,56,12,7
2024-01-01,GB,Tablet web,103,0,0,11,6,4,3,2
2024-01-01,DE,Mobile web,4058,0,0,394,240,124,13,7
2024-01-01,DE,Desktop web,1182,0,0,137,82,44,7,4
2024-01-01,DE,Tablet web,134,0,0,15,11,6,0,0
2024-01-01,FR,Mobile web,1788,0,0,182,117,63,10,6
2024-01-01,FR,Desktop web,769,0,0,81,51,22,3,2
2024-01-01,FR,Tablet web,129,0,0,15,7,5,0,0
2024-01-01,CA,Mobile web,2298,0,0,228,143,70,18,10
2024-01-01,CA,Desktop web,595,0,0,66,40,18,7,4
2024-01-01,CA,Tablet web,153,0,0,14,7,5,0,0
2024-01-01,AU,Mobile web,1987,0,0,185,109,60,7,4
2024-01-01,AU,Desktop web,504,0,0,58,29,22,2,1
2024-01-01,AU,Tablet web,69,0,0,7,3,3,0,0
2024-01-01,NL,Mobile web,836,0,0,92,57,35,14,8
2024-01-01,NL,Desktop web,428,0,0,48,23,22,3,2
2024-01-01,NL,Tablet web,47,0,0,5,3,4,0,0
2024-01-01,CH,Mobile web,620,0,0,61,37,27,12,7
2024-01-01,CH,Desktop web,211,0,0,21,13,13,0,0
2024-01-01,CH,Tablet web,27,0,0,3,3,1,0,0
2024-01-01,SE,Mobile web,753,0,0,67,41,31,2,1
2024-01-01,SE,Desktop web,234,0,0,26,20,12,3,2
2024-01-01,SE,Tablet web,28,0,0,3,1,1,2,1
2024-01-01,ES,Mobile web,1591,0,0,155,91,55,12,6
2024-01-01,ES,Desktop web,605,0,0,70,48,24,0,0
2024-01-01,ES,Tablet web,50,0,0,5,4,2,0,0
2024-01-01,IT,Mobile web,2189,0,0,179,99,59,3,2
2024-01-01,IT,Desktop web,525,0,0,53,32,18,3,2
2024-01-01,IT,Tablet web,61,0,0,6,4,1,0,0
2024-01-01,PL,Mobile web,1114,0,0,106,66,35,0,0
2024-01-01,PL,Desktop web,419,0,0,44,30,16,0,0
2024-01-01,PL,Tablet web,33,0,0,3,2,0,0,0
2024-01-01,JP,Mobile web,959,0,0,84,52,33,2,1
2024-01-01,JP,Desktop web,285,0,0,32,15,11,3,2
2024-01-01,JP,Tablet web,10,0,0,1,1,0,2,1
2024-01-01,BR,Mobile web,4027,0,0,287,162,97,7,4
2024-01-01,BR,Desktop web,1460,0,0,125,64,46,3,2
2024-01-01,BR,Tablet web,205,0,0,16,12,7,0,0
2024-01-01,MX,Mobile web,3744,0,0,269,168,93,7,4
2024-01-01,MX,Desktop web,1125,0,0,97,59,36,0,0
2024-01-01,MX,Tablet web,130,0,0,10,6,4,0,0
2024-01-01,IN,Mobile web,2576,0,0,180,103,68,2,1
