date,cluster_id,workload,cost_usd,units_served,gpu_hours,avg_utilization
2024-01-01,GC1,Image,45.39,6617,14.2,0.866
2024-01-01,GC1,LLM chat,610.66,553672,190.8,0.854
2024-01-01,GC1,Speech,37.11,12369,11.6,0.91
2024-01-01,GC2,Image,45.39,6617,33.6,0.703
2024-01-01,GC2,LLM chat,915.99,830508,678.5,0.733
2024-01-02,GC1,Image,44.93,6549,14.0,0.885
2024-01-02,GC1,LLM chat,596.76,541057,186.5,0.877
2024-01-02,GC1,Speech,36.73,12242,11.5,0.929
2024-01-02,GC2,Image,44.93,6549,33.3,0.657
2024-01-02,GC2,LLM chat,895.14,811586,663.1,0.674
2024-01-03,GC1,Image,45.39,6617,14.2,0.886
2024-01-03,GC1,LLM chat,598.25,542398,187.0,0.934
2024-01-03,GC1,Speech,37.11,12369,11.6,0.874
2024-01-03,GC2,Image,45.39,6617,33.6,0.693
2024-01-03,GC2,LLM chat,897.38,813596,664.7,0.65
2024-01-04,GC1,Image,45.86,6686,14.3,0.878
2024-01-04,GC1,LLM chat,626.26,567837,195.7,0.901
2024-01-04,GC1,Speech,37.49,12497,11.7,0.843
2024-01-04,GC2,Image,45.86,6686,34.0,0.642
2024-01-04,GC2,LLM chat,939.38,851755,695.8,0.691
2024-01-05,GC1,Image,47.73,6959,14.9,0.908
2024-01-05,GC1,LLM chat,630.28,571437,197.0,0.908
2024-01-05,GC1,Speech,39.02,13007,12.2,0.835
2024-01-05,GC2,Image,47.73,6959,35.4,0.65
2024-01-05,GC2,LLM chat,945.42,857155,700.3,0.643
2024-01-06,GC1,Image,49.61,7232,15.5,0.864
2024-01-06,GC1,LLM chat,662.85,600984,207.1,0.879
2024-01-06,GC1,Speech,40.55,13517,12.7,0.849
2024-01-06,GC2,Image,49.61,7232,36.7,0.716
2024-01-06,GC2,LLM chat,994.28,901476,736.5,0.669
2024-01-07,GC1,Image,49.14,7163,15.4,0.906
2024-01-07,GC1,LLM chat,701.1,635765,219.1,0.938
2024-01-07,GC1,Speech,40.17,13389,12.6,0.933
2024-01-07,GC2,Image,49.14,7163,36.4,0.721
2024-01-07,GC2,LLM chat,1051.64,953648,779.0,0.674
2024-01-08,GC1,Image,45.39,6617,14.2,0.867
2024-01-08,GC1,LLM chat,652.65,591847,204.0,0.855
2024-01-08,GC1,Speech,37.11,12369,11.6,0.884
2024-01-08,GC2,Image,45.39,6617,33.6,0.7
2024-01-08,GC2,LLM chat,978.97,887771,725.2,0.642
2024-01-09,GC1,Image,44.93,6549,14.0,0.933
2024-01-09,GC1,LLM chat,636.14,576851,198.8,0.897
2024-01-09,GC1,Speech,36.73,12242,11.5,0.871
2024-01-09,GC2,Image,44.93,6549,33.3,0.669
2024-01-09,GC2,LLM chat,954.21,865277,706.8,0.671
2024-01-10,GC1,Image,45.39,6617,14.2,0.885
2024-01-10,GC1,LLM chat,587.04,532206,183.5,0.889
2024-01-10,GC1,Speech,37.11,12369,11.6,0.898
2024-01-10,GC2,Image,45.39,6617,33.6,0.709
2024-01-10,GC2,LLM chat,880.56,798308,652.3,0.671
2024-01-11,GC1,Image,45.86,6686,14.3,0.906
2024-01-11,GC1,LLM chat,613.45,556197,191.7,0.858
2024-01-11,GC1,Speech,37.49,12497,11.7,0.856
2024-01-11,GC2,Image,45.86,6686,34.0,0.64
2024-01-11,GC2,LLM chat,920.18,834295,681.6,0.683
2024-01-12,GC1,Image,47.73,6959,14.9,0.921
2024-01-12,GC1,LLM chat,651.44,590667,203.6,0.846
2024-01-12,GC1,Speech,39.02,13007,12.2,0.894
2024-01-12,GC2,Image,47.73,6959,35.4,0.654
2024-01-12,GC2,LLM chat,977.16,886000,723.8,0.685
2024-01-13,GC1,Image,49.61,7232,15.5,0.88
2024-01-13,GC1,LLM chat,668.45,606072,208.9,0.854
2024-01-13,GC1,Speech,40.55,13517,12.7,0.842
2024-01-13,GC2,Image,49.61,7232,36.7,0.676
2024-01-13,GC2,LLM chat,1002.67,909108,742.7,0.645
2024-01-14,GC1,Image,49.14,7163,15.4,0.918
2024-01-14,GC1,LLM chat,687.18,623118,214.7,0.863
2024-01-14,GC1,Speech,40.17,13389,12.6,0.86
2024-01-14,GC2,Image,49.14,7163,36.4,0.686
2024-01-14,GC2,LLM chat,1030.78,934677,763.5,0.695
2024-01-15,GC1,Image,45.39,6617,14.2,0.891
2024-01-15,GC1,LLM chat,656.62,595456,205.2,0.867
2024-01-15,GC1,Speech,37.11,12369,11.6,0.898
2024-01-15,GC2,Image,45.39,6617,33.6,0.696
2024-01-15,GC2,LLM chat,984.93,893183,729.6,0.71
2024-01-16,GC1,Image,44.93,6549,14.0,0.88
2024-01-16,GC1,LLM chat,646.23,586023,201.9,0.862
2024-01-16,GC1,Speech,36.73,12242,11.5,0.89
2024-01-16,GC2,Image,44.93,6549,33.3,0.672
2024-01-16,GC2,LLM chat,969.34,879034,718.0,0.629
2024-01-17,GC1,Image,45.39,6617,14.2,0.909
2024-01-17,GC1,LLM chat,631.12,572275,197.2,0.865
2024-01-17,GC1,Speech,37.11,12369,11.6,0.865
2024-01-17,GC2,Image,45.39,6617,33.6,0.673
2024-01-17,GC2,LLM chat,946.68,858412,701.2,0.682
2024-01-18,GC1,Image,45.86,6686,14.3,0.855
2024-01-18,GC1,LLM chat,647.8,587418,202.4,0.871
2024-01-18,GC1,Speech,37.49,12497,11.7,0.864
2024-01-18,GC2,Image,45.86,6686,34.0,0.701
2024-01-18,GC2,LLM chat,971.69,881126,719.8,0.718
2024-01-19,GC1,Image,47.73,6959,14.9,0.854
2024-01-19,GC1,LLM chat,662.37,600612,207.0,0.87
2024-01-19,GC1,Speech,39.02,13007,12.2,0.901
2024-01-19,GC2,Image,47.73,6959,35.4,0.643
2024-01-19,GC2,LLM chat,993.56,900918,736.0,0.681
2024-01-20,GC1,Image,49.61,7232,15.5,0.87
2024-01-20,GC1,LLM chat,674.66,611723,210.8,0.887
2024-01-20,GC1,Speech,40.55,13517,12.7,0.883
2024-01-20,GC2,Image,49.61,7232,36.7,0.731
2024-01-20,GC2,LLM chat,1011.99,917584,749.6,0.688
2024-01-21,GC1,Image,49.14,7163,15.4,0.873
2024-01-21,GC1,LLM chat,693.14,628535,216.6,0.889
2024-01-21,GC1,Speech,40.17,13389,12.6,0.919
2024-01-21,GC2,Image,49.14,7163,36.4,0.713
2024-01-21,GC2,LLM chat,1039.71,942803,770.2,0.68
2024-01-22,GC1,Image,45.39,6617,14.2,0.91
2024-01-22,GC1,LLM chat,666.12,604091,208.2,0.86
2024-01-22,GC1,Speech,37.11,12369,11.6,0.883
2024-01-22,GC2,Image,45.39,6617,33.6,0.706
2024-01-22,GC2,LLM chat,999.18,906136,740.1,0.658
2024-01-23,GC1,Image,44.93,6549,14.0,0.9
2024-01-23,GC1,LLM chat,640.28,580621,200.1,0.861
2024-01-23,GC1,Speech,36.73,12242,11.5,0.873
