month,department,cost_group,headcount_eom,hires,exits,fully_loaded_cost_usd
2024-01,Engineering,R&D,5,0,0,36680.65
2024-02,Engineering,R&D,5,0,0,36336.69
2024-03,Engineering,R&D,6,1,0,42902.64
2024-04,Engineering,R&D,6,1,1,43728.96
2024-05,Engineering,R&D,6,0,0,43984.64
2024-06,Engineering,R&D,6,0,0,42858.42
2024-07,Engineering,R&D,7,1,0,50932.38
2024-08,Engineering,R&D,7,0,0,50035.14
2024-09,Engineering,R&D,7,0,0,50984.22
2024-10,Engineering,R&D,8,1,0,58127.15
2024-11,Engineering,R&D,8,0,0,57227.03
2024-12,Engineering,R&D,8,0,0,57772.83
2025-01,Engineering,R&D,9,1,0,65691.29
2025-02,Engineering,R&D,9,0,0,67940.54
2025-03,Engineering,R&D,9,0,0,67347.44
2025-04,Engineering,R&D,9,0,0,65447.4
2025-05,Engineering,R&D,10,1,0,73205.11
2025-06,Engineering,R&D,10,0,0,75363.74
2025-07,Engineering,R&D,10,1,1,73805.77
2025-08,Engineering,R&D,10,0,0,73589.34
2025-09,Engineering,R&D,10,0,0,72718.91
2025-10,Engineering,R&D,11,1,0,81660.82
2025-11,Engineering,R&D,11,0,0,82432.84
2025-12,Engineering,R&D,11,0,0,80371.88
2026-01,Engineering,R&D,11,1,1,85158.9
2026-02,Engineering,R&D,12,1,0,92700.97
2026-03,Engineering,R&D,12,0,0,90398.48
2026-04,Engineering,R&D,12,0,0,90420.55
2026-05,Engineering,R&D,12,0,0,91481.24
2026-06,Engineering,R&D,13,1,0,100229.85
2026-07,Engineering,R&D,13,1,1,99953.09
2026-08,Engineering,R&D,13,0,0,99925.31
2024-01,ML / AI,R&D,2,1,1,20107.57
2024-02,ML / AI,R&D,2,0,0,20377.92
2024-03,ML / AI,R&D,2,0,0,20399.8
2024-04,ML / AI,R&D,2,0,0,20685.15
2024-05,ML / AI,R&D,3,1,0,30246.84
2024-06,ML / AI,R&D,3,0,0,30480.52
2024-07,ML / AI,R&D,3,0,0,30562.64
2024-08,ML / AI,R&D,3,0,0,30347.8
2024-09,ML / AI,R&D,3,0,0,30796.11
2024-10,ML / AI,R&D,3,0,0,30252.46
2024-11,ML / AI,R&D,4,1,0,40220.05
2024-12,ML / AI,R&D,4,0,0,40419.22
2025-01,ML / AI,R&D,4,0,0,41799.69
2025-02,ML / AI,R&D,4,0,0,41699.85
2025-03,ML / AI,R&D,4,0,0,41348.95
2025-04,ML / AI,R&D,4,0,0,41522.05
2025-05,ML / AI,R&D,4,0,0,42141.81
2025-06,ML / AI,R&D,4,0,0,41810.74
2025-07,ML / AI,R&D,4,0,0,41466.03
2025-08,ML / AI,R&D,5,1,0,53437.46
2025-09,ML / AI,R&D,5,0,0,52030.35
2025-10,ML / AI,R&D,5,0,0,51691.57
2025-11,ML / AI,R&D,5,0,0,52662.16
2025-12,ML / AI,R&D,5,0,0,53093.81
2026-01,ML / AI,R&D,5,0,0,53337.07
2026-02,ML / AI,R&D,5,0,0,54036.61
2026-03,ML / AI,R&D,5,0,0,54545.48
2026-04,ML / AI,R&D,6,1,0,64586.48
2026-05,ML / AI,R&D,6,0,0,66019.36
2026-06,ML / AI,R&D,6,0,0,64799.77
2026-07,ML / AI,R&D,6,0,0,65516.16
2026-08,ML / AI,R&D,6,0,0,66127.2
2024-01,Product & Design,R&D,1,0,0,6473.71
2024-02,Product & Design,R&D,1,0,0,6318.16
2024-03,Product & Design,R&D,1,0,0,6296.93
2024-04,Product & Design,R&D,1,0,0,6424.85
2024-05,Product & Design,R&D,1,0,0,6358.16
2024-06,Product & Design,R&D,2,1,0,12901.73
2024-07,Product & Design,R&D,2,0,0,12863.75
2024-08,Product & Design,R&D,2,0,0,12658.42
2024-09,Product & Design,R&D,2,0,0,12664.67
2024-10,Product & Design,R&D,2,0,0,12983.07
2024-11,Product & Design,R&D,2,0,0,13038.07
2024-12,Product & Design,R&D,2,0,0,12758.82
2025-01,Product & Design,R&D,2,0,0,13337.13
2025-02,Product & Design,R&D,2,0,0,13278.59
2025-03,Product & Design,R&D,3,1,0,19941.81
2025-04,Product & Design,R&D,3,0,0,19636.04
2025-05,Product & Design,R&D,3,0,0,19694.77
2025-06,Product & Design,R&D,3,0,0,19820.06
2025-07,Product & Design,R&D,3,0,0,19888.2
2025-08,Product & Design,R&D,3,0,0,19626.82
2025-09,Product & Design,R&D,3,0,0,19896.47
2025-10,Product & Design,R&D,3,0,0,19686.41
2025-11,Product & Design,R&D,3,0,0,19913.81
2025-12,Product & Design,R&D,3,0,0,19937.82
2026-01,Product & Design,R&D,3,0,0,20670.49
2026-02,Product & Design,R&D,3,0,0,20107.48
2026-03,Product & Design,R&D,4,1,0,27527.02
2026-04,Product & Design,R&D,4,0,0,27136.8
2026-05,Product & Design,R&D,4,0,0,27323.11
2026-06,Product & Design,R&D,4,0,0,27647.19
2026-07,Product & Design,R&D,4,0,0,27393.86
2026-08,Product & Design,R&D,4,0,0,26787.46
2024-01,Data & Analytics,R&D,1,0,0,5977.13
2024-02,Data & Analytics,R&D,1,0,0,6028.53
2024-03,Data & Analytics,R&D,1,0,0,5935.67
2024-04,Data & Analytics,R&D,1,0,0,6095.46
2024-05,Data & Analytics,R&D,1,0,0,6062.58
2024-06,Data & Analytics,R&D,1,0,0,6103.55
2024-07,Data & Analytics,R&D,1,0,0,6031.28
2024-08,Data & Analytics,R&D,2,1,0,11823.11
2024-09,Data & Analytics,R&D,2,0,0,11876.71
2024-10,Data & Analytics,R&D,2,0,0,11860.16
2024-11,Data & Analytics,R&D,2,0,0,12110.81
2024-12,Data & Analytics,R&D,2,0,0,12078.58
2025-01,Data & Analytics,R&D,2,0,0,12140.69
2025-02,Data & Analytics,R&D,2,0,0,12449.74
2025-03,Data & Analytics,R&D,2,0,0,12442.59
2025-04,Data & Analytics,R&D,2,0,0,12551.61
2025-05,Data & Analytics,R&D,2,0,0,12533.81
2025-06,Data & Analytics,R&D,2,0,0,12510.18
2025-07,Data & Analytics,R&D,2,0,0,12439.79
2025-08,Data & Analytics,R&D,2,0,0,12252.05
2025-09,Data & Analytics,R&D,2,0,0,12149.69
2025-10,Data & Analytics,R&D,2,1,1,12430.44
2025-11,Data & Analytics,R&D,2,0,0,12584.96
2025-12,Data & Analytics,R&D,3,1,0,18443.72
2026-01,Data & Analytics,R&D,3,0,0,19435.31
2026-02,Data & Analytics,R&D,3,0,0,18905.37
2026-03,Data & Analytics,R&D,3,0,0,19450.25
