month,active_subscribers_eom,new_subscribers,reactivated_subscribers,churned_subscribers,voluntary_churn_subs,involuntary_churn_subs,monthly_churn_rate,mrr_eom_usd,net_new_mrr_usd,arr_eom_usd,subscription_revenue_usd,token_revenue_usd,refunds_chargebacks_usd,net_revenue_usd,token_share_of_revenue,subscription_billings_usd,deferred_revenue_eom_usd,gross_profit_usd,gross_margin,total_opex_usd,ebitda_usd,ebitda_margin,acquisition_spend_usd,blended_cac_usd,paid_cac_usd,arpu_usd,token_buyers,token_attach_rate,token_arppu_usd,annual_plan_share_of_actives,free_signups,signup_to_paid_cvr,m1_retention_prior_cohort,gpu_cost_usd,gpu_cost_per_active_sub_usd,gpu_cost_pct_revenue,free_tier_compute_cost_usd,chat_messages_m,images_generated_k,videos_generated_k,support_tickets,tickets_per_1k_subs,sla_met_rate,avg_csat,renewal_approval_rate,card_chargeback_ratio,headcount_eom,annualised_revenue_per_fte_usd
2024-01,10961.0,5185.0,0.0,2061.0,1636.0,237.0,0.263,103699.26,27707.43,1244391.12,105589.1886,21855.3968,-2207.4286,125237.1568,0.1715,184260.44,220493.19,34088.4065,0.2722,255539.7,-221451.2935,-1.7683,98369.14,18.9719,22.2442,13.3245,464.0,0.0494,47.1021,0.3203,209275.0,0.0248,,54366.43,5.7843,0.4341,44271.45,45.5862,394.54,0.0,834.0,88.7328,0.7902,3.9951,0.9129,0.0,17.0,88402.6989
2024-02,13865.0,5399.0,72.0,2567.0,1980.0,308.0,0.2342,127512.64,23813.4,1530151.68,129889.4694,24896.804,-3312.8255,151473.448,0.1608,206778.09,292163.88,52207.1597,0.3447,263553.4629,-211346.3032,-1.3953,103737.92,19.2143,22.7016,12.2028,612.0,0.0493,40.6811,0.3551,215615.0,0.025,0.6953,57193.83,4.6076,0.3776,44502.1,47.1367,499.388,0.0,942.0,75.8882,0.5563,3.6802,0.9139,0.0076,17.0,106922.4339
2024-03,16458.0,5320.0,111.0,2838.0,2183.0,353.0,0.2047,149836.27,22323.69,1798035.24,152242.1981,30799.0575,-3735.7597,179305.496,0.1683,206013.39,340767.73,68536.1521,0.3822,273060.4058,-204524.2537,-1.1406,103924.57,19.5347,22.7871,11.8264,679.0,0.0448,45.3594,0.3733,213128.0,0.025,0.6972,64811.23,4.2747,0.3615,49219.67,53.5143,555.667,0.0,1016.0,67.0118,0.6073,3.6769,0.9193,0.0086,18.0,119536.9973
2024-04,18757.0,5414.0,186.0,3301.0,2527.0,471.0,0.2006,167492.4,17656.03,2009908.8,170188.2686,36145.8604,-3476.6955,202857.4335,0.1752,226319.05,391730.21,88967.9227,0.4386,277991.4787,-189023.556,-0.9318,104989.45,19.3922,22.1993,11.5211,844.0,0.0479,42.8268,0.3962,197967.0,0.0273,0.6778,64176.92,3.6449,0.3164,46486.99,52.1237,639.323,0.0,1127.0,64.0068,0.701,3.7591,0.9119,0.0071,18.0,135238.289
2024-05,21472.0,5936.0,231.0,3452.0,2616.0,478.0,0.184,190296.47,22804.0,2283557.64,193210.2475,45882.5747,-4917.527,234175.2953,0.1919,251250.45,443820.78,108870.4174,0.4649,307576.9316,-198706.5142,-0.8485,115387.93,19.4387,22.6291,11.6421,920.0,0.0457,49.8724,0.4136,215798.0,0.0275,0.6878,70256.74,3.4928,0.3,49375.07,56.5174,755.865,0.0,1363.0,67.7621,0.6053,3.6774,0.9189,0.0077,20.0,140505.1772
2024-06,23946.0,5950.0,248.0,3724.0,2814.0,565.0,0.1734,209230.22,18933.63,2510762.64,211797.1885,47822.1127,-4543.5932,255075.708,0.1842,258988.54,486084.35,123385.3083,0.4837,324300.2645,-200914.9563,-0.7877,117693.56,19.7804,23.4583,11.2324,1033.0,0.0455,46.2944,0.4309,218621.0,0.0272,0.6808,73760.57,3.2481,0.2892,50188.8,58.5769,747.827,0.0,1367.0,60.1964,0.7052,3.7159,0.9138,0.0096,23.0,133082.9781
2024-07,27208.0,6796.0,336.0,3870.0,2826.0,619.0,0.1616,235894.78,26664.68,2830737.36,239050.2389,58466.838,-5647.1219,291869.955,0.1965,308514.23,549150.64,143410.6624,0.4914,349431.8474,-206021.185,-0.7059,131798.86,19.3936,23.6755,11.4114,1195.0,0.0467,48.9262,0.447,247489.0,0.0275,0.7037,83389.79,3.2603,0.2857,56051.86,65.9796,856.759,0.0,1645.0,64.3156,0.6985,3.7366,0.9157,0.0091,24.0,145934.9775
2024-08,29980.0,6654.0,396.0,4278.0,3324.0,591.0,0.1572,258491.14,22596.42,3101893.68,260635.9114,65286.9752,-4959.5351,320963.3515,0.2003,304459.94,588110.14,166997.0192,0.5203,362829.5403,-195832.5211,-0.6101,131243.07,19.7239,23.5311,11.2248,1314.0,0.046,49.6857,0.4617,240120.0,0.0277,0.6982,86190.38,3.0143,0.2685,55389.35,67.3623,958.142,0.0,1686.0,58.9634,0.739,3.6749,0.9241,0.0084,26.0,148136.9315
2024-09,32530.0,6804.0,355.0,4609.0,3416.0,750.0,0.1537,278624.17,20132.95,3343490.04,281150.8604,64009.0122,-6390.1549,338769.7178,0.1854,316229.42,617402.03,181166.3502,0.5348,370916.7432,-189750.393,-0.5601,135602.51,19.9298,24.0721,10.8389,1399.0,0.0448,45.7534,0.4777,243693.0,0.0279,0.6933,87365.99,2.7953,0.2579,54861.25,67.814,1011.937,0.0,1820.0,58.2307,0.7357,3.7909,0.9116,0.0091,26.0,156355.2544
2024-10,35512.0,7646.0,447.0,5111.0,3920.0,753.0,0.1571,301551.65,22927.59,3618619.8,304899.7692,84064.1111,-5818.2982,383145.5822,0.2161,371727.87,677838.54,208533.208,0.5443,394206.6061,-185673.3982,-0.4846,148610.51,19.4364,23.966,11.262,1526.0,0.0449,55.0879,0.4834,266498.0,0.0287,0.6975,96022.44,2.8224,0.2506,58993.01,73.8056,1175.623,0.0,2041.0,59.9924,0.7026,3.7312,0.92,0.0078,27.0,170286.9254
