date,campaign_id,channel_id,spend_usd,impressions,clicks,free_signups,new_paid_subscribers,reactivated_subscribers,first_payment_net_revenue_usd
2024-01-01,CMP001,CH01,1056.0,,9912.0,1454,48,0,1394.62
2024-01-01,CMP002,CH01,220.0,,1711.0,217,10,0,192.6
2024-01-01,CMP003,CH01,110.0,,1022.0,148,5,0,173.58
2024-01-01,CMP006,CH02,161.83,650734.0,3904.0,321,3,0,163.9
2024-01-01,CMP007,CH02,88.32,371942.0,2232.0,184,1,0,11.71
2024-01-01,CMP008,CH02,309.99,2286687.0,13720.0,1104,20,0,729.55
2024-01-01,CMP010,CH02,17.54,83314.0,500.0,49,3,0,121.63
2024-01-01,CMP012,CH03,162.02,262544.0,2363.0,212,8,0,225.17
2024-01-01,CMP016,CH03,24.28,26395.0,238.0,31,0,0,0.0
2024-01-01,CMP017,CH03,338.07,507264.0,4565.0,505,12,0,263.78
2024-01-01,CMP018,CH04,1525.43,31644.0,380.0,62,2,0,24.51
2024-01-01,CMP022,CH05,472.23,283040.0,9906.0,840,31,0,1060.9
2024-01-01,CMP025,CH06,0.0,,2866.0,604,24,0,713.47
2024-01-01,CMP026,CH07,161.02,,2031.0,318,12,0,436.08
2024-01-01,CMP028,CH08,347.05,1633245.0,29398.0,1319,20,0,543.18
2024-01-01,CMP029,CH08,5.79,53311.0,960.0,52,0,0,0.0
2024-01-01,CMP030,CH08,8.81,32157.0,579.0,29,0,0,0.0
2024-01-01,CMP031,CH09,370.47,844420.0,4222.0,481,16,0,496.69
2024-01-02,CMP001,CH01,902.0,,7786.0,1329,41,0,1371.69
2024-01-02,CMP002,CH01,88.0,,1659.0,237,4,0,103.82
2024-01-02,CMP003,CH01,176.0,,963.0,140,8,0,313.74
2024-01-02,CMP006,CH02,142.32,588262.0,3530.0,293,8,0,204.95
2024-01-02,CMP007,CH02,78.83,322127.0,1933.0,171,3,0,196.06
2024-01-02,CMP008,CH02,348.54,1733854.0,10403.0,1005,22,0,822.89
2024-01-02,CMP010,CH02,18.71,106278.0,638.0,53,0,0,0.0
2024-01-02,CMP012,CH03,104.86,171252.0,1541.0,180,8,0,199.9
2024-01-02,CMP016,CH03,20.68,20972.0,189.0,22,1,0,76.13
2024-01-02,CMP017,CH03,362.59,451905.0,4067.0,507,12,0,399.34
2024-01-02,CMP018,CH04,0.0,31510.0,378.0,56,1,0,28.27
2024-01-02,CMP022,CH05,421.69,251585.0,8805.0,775,18,0,776.83
2024-01-02,CMP025,CH06,0.0,,3386.0,609,24,0,777.25
2024-01-02,CMP026,CH07,162.52,,1491.0,299,11,0,268.16
2024-01-02,CMP028,CH08,305.1,1287952.0,23183.0,1210,15,0,597.27
2024-01-02,CMP029,CH08,4.76,41617.0,749.0,44,0,0,0.0
2024-01-02,CMP030,CH08,10.04,36094.0,650.0,31,1,0,65.35
2024-01-02,CMP031,CH09,371.58,1000825.0,5004.0,462,11,0,437.82
2024-01-03,CMP001,CH01,1034.0,,10367.0,1533,47,0,1519.63
2024-01-03,CMP002,CH01,176.0,,1687.0,256,8,0,259.75
2024-01-03,CMP003,CH01,110.0,,1067.0,153,5,0,173.8
2024-01-03,CMP006,CH02,138.74,599264.0,3596.0,332,9,0,283.73
2024-01-03,CMP007,CH02,79.31,328868.0,1973.0,170,8,0,216.79
2024-01-03,CMP008,CH02,356.66,2320595.0,13924.0,1217,33,0,1167.89
2024-01-03,CMP010,CH02,20.1,84556.0,507.0,42,1,0,76.13
2024-01-03,CMP012,CH03,195.24,190599.0,1715.0,186,1,0,12.25
2024-01-03,CMP016,CH03,21.84,36791.0,331.0,35,0,0,0.0
2024-01-03,CMP017,CH03,298.04,524185.0,4718.0,576,11,0,427.67
2024-01-03,CMP018,CH04,0.0,39713.0,477.0,66,0,0,0.0
2024-01-03,CMP022,CH05,445.94,315749.0,11051.0,912,21,0,624.53
2024-01-03,CMP025,CH06,0.0,,2786.0,652,31,0,975.32
2024-01-03,CMP026,CH07,161.19,,1708.0,321,7,0,276.05
2024-01-03,CMP028,CH08,320.85,1463382.0,26341.0,1271,28,0,741.87
2024-01-03,CMP029,CH08,7.44,81471.0,1466.0,70,0,0,0.0
2024-01-03,CMP030,CH08,12.94,43327.0,780.0,39,1,0,11.81
2024-01-03,CMP031,CH09,423.73,917597.0,4588.0,493,13,0,479.01
2024-01-04,CMP001,CH01,704.0,,11894.0,1527,32,0,1077.89
2024-01-04,CMP002,CH01,132.0,,1849.0,269,6,0,144.34
