month,country_code,channel_id,plan_id,subs_start,new_subs,reactivated_subs,expansion_subs,contraction_subs,subs_end,mrr_start,mrr_new,mrr_reactivation,mrr_expansion,mrr_contraction,mrr_fx,churned_voluntary_subs,mrr_churn_voluntary,churned_involuntary_subs,mrr_churn_involuntary,churned_refund_subs,mrr_churn_refund,churned_chargeback_subs,mrr_churn_chargeback,mrr_end,mrr_net_new
2024-01,US,CH01,P1M,438,303,0,1,0,553,5364.74,3713.18,0.0,2.83,0.0,0.0,154,-1887.23,23,-281.86,11,-134.8,0,0.0,6776.86,1412.12
2024-01,US,CH01,P3M,153,91,0,0,2,226,1447.61,857.63,0.0,0.0,-5.66,0.0,14,-131.94,1,-9.42,3,-28.27,0,0.0,2129.94,682.33
2024-01,US,CH01,P12M,211,121,0,0,4,326,1218.76,683.76,0.0,0.0,-26.42,0.0,0,0.0,0,0.0,6,-33.91,0,0.0,1842.21,623.44
2024-01,US,CH02,P1M,285,183,0,1,0,335,3489.76,2242.61,0.0,2.83,0.0,0.0,115,-1409.29,12,-147.06,6,-73.53,0,0.0,4105.33,615.57
2024-01,US,CH02,P3M,104,79,0,0,0,171,980.15,744.54,0.0,0.0,0.0,0.0,8,-75.4,1,-9.42,3,-28.27,0,0.0,1611.59,631.44
2024-01,US,CH02,P12M,133,78,0,0,2,206,764.78,440.77,0.0,0.0,-13.21,0.0,0,0.0,0,0.0,5,-28.25,0,0.0,1164.09,399.31
2024-01,US,CH03,P1M,124,101,0,0,0,168,1519.58,1237.73,0.0,0.0,0.0,0.0,49,-600.48,6,-73.53,2,-24.51,0,0.0,2058.79,539.21
2024-01,US,CH03,P3M,69,34,0,0,0,96,650.29,320.43,0.0,0.0,0.0,0.0,5,-47.12,1,-9.42,1,-9.42,0,0.0,904.75,254.46
2024-01,US,CH03,P12M,71,44,0,0,2,112,414.42,248.64,0.0,0.0,-13.21,0.0,0,0.0,0,0.0,3,-16.95,0,0.0,632.91,218.48
2024-01,US,CH04,P1M,27,20,0,0,0,37,330.88,245.09,0.0,0.0,0.0,0.0,6,-73.53,4,-49.02,0,0.0,0,0.0,453.42,122.55
2024-01,US,CH04,P3M,10,7,0,0,0,16,94.25,65.97,0.0,0.0,0.0,0.0,1,-9.42,0,0.0,0,0.0,0,0.0,150.79,56.55
2024-01,US,CH04,P12M,17,7,0,0,0,24,96.07,39.56,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,135.62,39.56
2024-01,US,CH05,P1M,160,129,0,0,0,213,1960.75,1580.86,0.0,0.0,0.0,0.0,59,-723.03,13,-159.31,4,-49.02,0,0.0,2610.25,649.5
2024-01,US,CH05,P3M,74,36,0,0,2,93,703.08,339.28,0.0,0.0,-5.66,0.0,15,-141.37,1,-9.42,1,-9.42,0,0.0,876.48,173.41
2024-01,US,CH05,P12M,103,62,0,0,3,163,599.03,350.36,0.0,0.0,-16.98,0.0,0,0.0,0,0.0,2,-11.3,0,0.0,921.1,322.08
2024-01,US,CH06,P1M,187,143,0,1,0,248,2288.8,1752.42,0.0,2.83,0.0,0.0,69,-845.58,9,-110.29,4,-49.02,0,0.0,3039.17,750.37
2024-01,US,CH06,P3M,86,48,0,0,1,120,813.34,452.38,0.0,0.0,-2.83,0.0,11,-103.67,0,0.0,3,-28.27,0,0.0,1130.94,317.6
2024-01,US,CH06,P12M,100,62,0,0,2,159,575.47,350.36,0.0,0.0,-10.38,0.0,0,0.0,0,0.0,3,-16.95,0,0.0,898.5,323.03
