month,processor_id,payment_method_id,payment_type,attempts,declined_first_attempt,recovered_by_retry,failed_final,approved,approval_rate,transactions,amount_gross_usd,processing_fees_usd
2024-01,ACQ_A,PM01,Initial (new + win-back),1171,155,0,155,1016,0.8676,1016,33042.3,2172.93
2024-01,ACQ_A,PM01,Refund,0,0,0,0,0,,47,-1501.33,0.0
2024-01,ACQ_A,PM01,Renewal,601,74,15,59,542,0.9018,542,9718.72,724.23
2024-01,ACQ_A,PM01,Token pack,153,13,0,13,140,0.915,140,7041.0,436.26
2024-01,ACQ_A,PM02,Initial (new + win-back),657,93,0,93,564,0.8584,564,19740.91,1283.15
2024-01,ACQ_A,PM02,Refund,0,0,0,0,0,,22,-765.41,0.0
2024-01,ACQ_A,PM02,Renewal,332,38,13,25,307,0.9247,307,5412.66,405.15
2024-01,ACQ_A,PM02,Token pack,73,6,0,6,67,0.9178,67,2347.67,152.57
2024-01,ACQ_A,PM03,Initial (new + win-back),68,8,0,8,60,0.8824,60,2352.83,150.41
2024-01,ACQ_A,PM03,Refund,0,0,0,0,0,,4,-123.28,0.0
2024-01,ACQ_A,PM03,Renewal,46,6,4,2,44,0.9565,44,726.45,55.35
2024-01,ACQ_A,PM03,Token pack,6,1,0,1,5,0.8333,5,278.15,17.05
2024-01,ACQ_B,PM01,Initial (new + win-back),2301,357,0,357,1944,0.8449,1944,58372.02,4085.52
2024-01,ACQ_B,PM01,Refund,0,0,0,0,0,,66,-2123.07,0.0
2024-01,ACQ_B,PM01,Renewal,941,138,45,93,848,0.9012,848,12910.8,1029.05
2024-01,ACQ_B,PM01,Token pack,187,17,0,17,170,0.9091,170,8023.3,532.4
2024-01,ACQ_B,PM02,Initial (new + win-back),1152,179,0,179,973,0.8446,973,30520.05,2123.1
2024-01,ACQ_B,PM02,Refund,0,0,0,0,0,,32,-1219.26,0.0
2024-01,ACQ_B,PM02,Renewal,519,68,22,46,473,0.9114,473,7244.73,576.58
2024-01,ACQ_B,PM02,Token pack,105,10,0,10,95,0.9048,95,3814.05,257.34
2024-01,ACQ_B,PM03,Initial (new + win-back),92,15,0,15,77,0.837,77,2466.69,171.1
2024-01,ACQ_B,PM03,Refund,0,0,0,0,0,,2,-22.98,0.0
2024-01,ACQ_B,PM03,Renewal,56,13,1,12,44,0.7857,44,605.52,49.53
2024-01,ACQ_B,PM03,Token pack,12,1,0,1,11,0.9167,11,704.89,45.59
2024-01,CRYPTO_GW,PM04,Initial (new + win-back),208,9,0,9,199,0.9567,199,6907.69,103.62
2024-01,CRYPTO_GW,PM04,Refund,0,0,0,0,0,,10,-343.34,0.0
2024-01,CRYPTO_GW,PM04,Renewal,78,0,0,0,78,1.0,78,1286.16,19.29
2024-01,CRYPTO_GW,PM04,Token pack,25,1,0,1,24,0.96,24,1129.4,16.94
2024-01,CRYPTO_GW,PM05,Initial (new + win-back),108,4,0,4,104,0.963,104,3633.38,54.5
2024-01,CRYPTO_GW,PM05,Refund,0,0,0,0,0,,6,-114.26,0.0
2024-01,CRYPTO_GW,PM05,Renewal,54,0,0,0,54,1.0,54,1029.04,15.44
2024-01,CRYPTO_GW,PM05,Token pack,10,0,0,0,10,1.0,10,472.71,7.09
2024-01,CRYPTO_GW,PM06,Initial (new + win-back),195,8,0,8,187,0.959,187,6857.18,102.86
2024-01,CRYPTO_GW,PM06,Refund,0,0,0,0,0,,8,-252.68,0.0
2024-01,CRYPTO_GW,PM06,Renewal,63,0,0,0,63,1.0,63,879.44,13.19
2024-01,CRYPTO_GW,PM06,Token pack,29,1,0,1,28,0.9655,28,644.18,9.66
2024-01,CRYPTO_GW,PM07,Initial (new + win-back),64,3,0,3,61,0.9531,61,1981.27,29.72
2024-01,CRYPTO_GW,PM07,Refund,0,0,0,0,0,,1,-78.42,0.0
2024-01,CRYPTO_GW,PM07,Renewal,30,0,0,0,30,1.0,30,459.86,6.9
2024-01,CRYPTO_GW,PM07,Token pack,4,0,0,0,4,1.0,4,108.51,1.63
2024-02,ACQ_A,PM01,Chargeback,0,0,0,0,0,,17,-503.8,425.0
2024-02,ACQ_A,PM01,Initial (new + win-back),1257,170,0,170,1087,0.8648,1087,36020.45,2361.57
2024-02,ACQ_A,PM01,Refund,0,0,0,0,0,,62,-2306.7,0.0
2024-02,ACQ_A,PM01,Renewal,783,95,24,71,712,0.9093,712,12420.66,932.34
2024-02,ACQ_A,PM01,Token pack,156,13,0,13,143,0.9167,143,6103.87,385.76
2024-02,ACQ_A,PM02,Chargeback,0,0,0,0,0,,6,-186.33,150.0
2024-02,ACQ_A,PM02,Initial (new + win-back),645,92,0,92,553,0.8574,553,20092.04,1298.61
