month,scenario,line_id,line_item,section,amount_usd,year,month_num
2024-01,Actual,R1,Subscription revenue (recognised),Revenue,105589.19,2024,1
2024-02,Actual,R1,Subscription revenue (recognised),Revenue,129889.47,2024,2
2024-03,Actual,R1,Subscription revenue (recognised),Revenue,152242.2,2024,3
2024-04,Actual,R1,Subscription revenue (recognised),Revenue,170188.27,2024,4
2024-05,Actual,R1,Subscription revenue (recognised),Revenue,193210.25,2024,5
2024-06,Actual,R1,Subscription revenue (recognised),Revenue,211797.19,2024,6
2024-07,Actual,R1,Subscription revenue (recognised),Revenue,239050.24,2024,7
2024-08,Actual,R1,Subscription revenue (recognised),Revenue,260635.91,2024,8
2024-09,Actual,R1,Subscription revenue (recognised),Revenue,281150.86,2024,9
2024-10,Actual,R1,Subscription revenue (recognised),Revenue,304899.77,2024,10
2024-11,Actual,R1,Subscription revenue (recognised),Revenue,340218.03,2024,11
2024-12,Actual,R1,Subscription revenue (recognised),Revenue,363770.47,2024,12
2025-01,Actual,R1,Subscription revenue (recognised),Revenue,383075.82,2025,1
2025-02,Actual,R1,Subscription revenue (recognised),Revenue,405339.37,2025,2
2025-03,Actual,R1,Subscription revenue (recognised),Revenue,435860.34,2025,3
2025-04,Actual,R1,Subscription revenue (recognised),Revenue,460010.32,2025,4
2025-05,Actual,R1,Subscription revenue (recognised),Revenue,491612.78,2025,5
2025-06,Actual,R1,Subscription revenue (recognised),Revenue,500626.17,2025,6
2025-07,Actual,R1,Subscription revenue (recognised),Revenue,523428.04,2025,7
2025-08,Actual,R1,Subscription revenue (recognised),Revenue,552674.8,2025,8
2025-09,Actual,R1,Subscription revenue (recognised),Revenue,582183.47,2025,9
2025-10,Actual,R1,Subscription revenue (recognised),Revenue,619621.84,2025,10
2025-11,Actual,R1,Subscription revenue (recognised),Revenue,684071.03,2025,11
2025-12,Actual,R1,Subscription revenue (recognised),Revenue,726149.81,2025,12
2026-01,Actual,R1,Subscription revenue (recognised),Revenue,769133.44,2026,1
2026-02,Actual,R1,Subscription revenue (recognised),Revenue,812747.93,2026,2
2026-03,Actual,R1,Subscription revenue (recognised),Revenue,851844.19,2026,3
2026-04,Actual,R1,Subscription revenue (recognised),Revenue,888913.91,2026,4
2026-05,Actual,R1,Subscription revenue (recognised),Revenue,923694.82,2026,5
2026-06,Actual,R1,Subscription revenue (recognised),Revenue,967277.29,2026,6
2026-07,Actual,R1,Subscription revenue (recognised),Revenue,1030995.63,2026,7
2026-08,Actual,R1,Subscription revenue (recognised),Revenue,1106928.5,2026,8
2024-01,Actual,R2,Token pack revenue,Revenue,21855.4,2024,1
2024-02,Actual,R2,Token pack revenue,Revenue,24896.8,2024,2
2024-03,Actual,R2,Token pack revenue,Revenue,30799.06,2024,3
2024-04,Actual,R2,Token pack revenue,Revenue,36145.86,2024,4
2024-05,Actual,R2,Token pack revenue,Revenue,45882.57,2024,5
2024-06,Actual,R2,Token pack revenue,Revenue,47822.11,2024,6
