month,country_code,plan_id,subscription_revenue_recognized_usd,refund_chargeback_reversals_usd
2024-01,US,P1M,24374.63,-428.92
2024-01,US,P3M,8500.92,-131.94
2024-01,US,P12M,7284.07,-113.02
2024-01,GB,P1M,6714.18,-233.9
2024-01,GB,P3M,2222.03,-31.74
2024-01,GB,P12M,1846.22,-12.69
2024-01,DE,P1M,5299.65,-154.82
2024-01,DE,P3M,2024.12,-9.16
2024-01,DE,P12M,1570.62,-27.46
2024-01,FR,P1M,2704.51,-35.43
2024-01,FR,P3M,899.17,-27.25
2024-01,FR,P12M,887.68,-16.34
2024-01,CA,P1M,2735.95,-34.49
2024-01,CA,P3M,1043.2,-17.68
2024-01,CA,P12M,853.44,-15.9
2024-01,AU,P1M,2550.76,-47.24
2024-01,AU,P3M,744.71,-18.16
2024-01,AU,P12M,615.34,-16.34
2024-01,NL,P1M,1464.06,-23.42
2024-01,NL,P3M,459.38,-0.0
2024-01,NL,P12M,545.49,-5.4
2024-01,CH,P1M,1114.36,-39.33
2024-01,CH,P3M,352.88,-0.0
2024-01,CH,P12M,278.09,-0.0
2024-01,SE,P1M,941.03,-34.01
2024-01,SE,P3M,427.24,-0.0
2024-01,SE,P12M,282.32,-10.46
2024-01,ES,P1M,2073.11,-58.56
2024-01,ES,P3M,792.66,-27.02
2024-01,ES,P12M,550.89,-5.4
2024-01,IT,P1M,2137.43,-34.85
2024-01,IT,P3M,741.5,-8.93
2024-01,IT,P12M,621.37,-5.36
2024-01,PL,P1M,1336.55,-23.04
2024-01,PL,P3M,381.03,-0.0
2024-01,PL,P12M,366.6,-10.63
2024-01,JP,P1M,897.49,-0.0
2024-01,JP,P3M,308.78,-0.0
2024-01,JP,P12M,310.39,-0.0
2024-01,BR,P1M,1657.77,-24.74
2024-01,BR,P3M,732.6,-0.0
2024-01,BR,P12M,713.1,-0.0
2024-01,MX,P1M,1377.39,-33.59
2024-01,MX,P3M,447.83,-0.0
2024-01,MX,P12M,562.85,-5.16
2024-01,IN,P1M,858.66,-0.0
2024-01,IN,P3M,457.17,-0.0
2024-01,IN,P12M,390.87,-0.0
2024-01,ROW,P1M,4750.63,-123.71
2024-01,ROW,P3M,2093.14,-9.51
2024-01,ROW,P12M,2293.31,-34.23
2024-02,US,P1M,28908.88,-674.01
2024-02,US,P3M,10725.11,-245.04
2024-02,US,P12M,10307.32,-141.27
2024-02,GB,P1M,7109.43,-150.82
2024-02,GB,P3M,2754.87,-105.41
2024-02,GB,P12M,2558.55,-69.43
2024-02,DE,P1M,6054.06,-177.07
2024-02,DE,P3M,2525.13,-72.87
2024-02,DE,P12M,2173.19,-38.14
2024-02,FR,P1M,3352.21,-105.12
2024-02,FR,P3M,1229.34,-17.97
2024-02,FR,P12M,1237.59,-16.28
2024-02,CA,P1M,3241.75,-80.47
2024-02,CA,P3M,1343.79,-26.52
2024-02,CA,P12M,1203.3,-5.3
2024-02,AU,P1M,2786.95,-59.05
2024-02,AU,P3M,1053.49,-18.16
2024-02,AU,P12M,860.38,-32.67
2024-02,NL,P1M,1737.55,-34.88
2024-02,NL,P3M,600.73,-0.0
2024-02,NL,P12M,769.77,-5.34
2024-02,CH,P1M,1270.66,-77.94
2024-02,CH,P3M,391.44,-0.0
2024-02,CH,P12M,427.56,-11.96
2024-02,SE,P1M,1166.15,-33.76
2024-02,SE,P3M,443.34,-0.0
2024-02,SE,P12M,411.47,-10.46
2024-02,ES,P1M,2258.81,-0.0
2024-02,ES,P3M,959.94,-8.91
2024-02,ES,P12M,737.78,-10.68
2024-02,IT,P1M,2332.21,-69.44
2024-02,IT,P3M,942.55,-17.67
2024-02,IT,P12M,790.84,-10.6
2024-02,PL,P1M,1515.57,-34.31
2024-02,PL,P3M,423.67,-0.0
2024-02,PL,P12M,524.12,-21.02
2024-02,JP,P1M,850.25,-35.43
2024-02,JP,P3M,417.76,-9.08
2024-02,JP,P12M,441.08,-5.45
2024-02,BR,P1M,2066.03,-37.11
2024-02,BR,P3M,979.97,-38.06
2024-02,BR,P12M,998.33,-22.82
2024-02,MX,P1M,1511.77,-55.99
2024-02,MX,P3M,637.29,-0.0
2024-02,MX,P12M,836.53,-10.33
2024-02,IN,P1M,1089.84,-44.03
2024-02,IN,P3M,575.69,-16.93
2024-02,IN,P12M,573.62,-5.08
2024-02,ROW,P1M,6037.26,-197.94
2024-02,ROW,P3M,2606.91,-28.54
2024-02,ROW,P12M,3137.62,-51.34
2024-03,US,P1M,32609.8,-882.34
2024-03,US,P3M,12553.47,-141.37
2024-03,US,P12M,12799.39,-163.88
2024-03,GB,P1M,8117.56,-384.63
2024-03,GB,P3M,3453.62,-94.96
2024-03,GB,P12M,3047.43,-75.89
2024-03,DE,P1M,7321.11,-165.86
2024-03,DE,P3M,2814.96,-36.5
2024-03,DE,P12M,2654.86,-38.3
2024-03,FR,P1M,3859.5,-140.85
2024-03,FR,P3M,1391.49,-44.98
2024-03,FR,P12M,1568.6,-16.28
2024-03,CA,P1M,3988.96,-126.45
2024-03,CA,P3M,1653.21,-26.52
2024-03,CA,P12M,1489.55,-10.6
2024-03,AU,P1M,3365.59,-47.24
2024-03,AU,P3M,1162.47,-0.0
2024-03,AU,P12M,1040.08,-16.34
2024-03,NL,P1M,2135.52,-46.51
2024-03,NL,P3M,743.86,-0.0
2024-03,NL,P12M,947.39,-0.0
2024-03,CH,P1M,1462.96,-26.12
2024-03,CH,P3M,391.0,-29.99
2024-03,CH,P12M,590.28,-6.02
2024-03,SE,P1M,1242.57,-33.81
2024-03,SE,P3M,503.8,-0.0
2024-03,SE,P12M,479.16,-0.0
2024-03,ES,P1M,2613.97,-46.68
2024-03,ES,P3M,1057.83,-35.63
2024-03,ES,P12M,910.06,-0.0
2024-03,IT,P1M,2777.73,-80.93
2024-03,IT,P3M,1075.54,-26.57
2024-03,IT,P12M,967.04,-0.0
2024-03,PL,P1M,1607.17,-57.4
2024-03,PL,P3M,555.71,-0.0
2024-03,PL,P12M,608.98,-0.0
2024-03,JP,P1M,1251.76,-0.0
2024-03,JP,P3M,608.48,-9.08
2024-03,JP,P12M,544.55,-5.45
2024-03,BR,P1M,2165.0,-98.97
2024-03,BR,P3M,1084.63,-9.51
2024-03,BR,P12M,1363.44,-17.11
2024-03,MX,P1M,1668.54,-67.19
2024-03,MX,P3M,757.86,-0.0
2024-03,MX,P12M,1053.41,-25.82
2024-03,IN,P1M,1166.9,-22.02
2024-03,IN,P3M,702.69,-16.93
2024-03,IN,P12M,705.6,-10.15
2024-03,ROW,P1M,6618.71,-136.09
2024-03,ROW,P3M,2949.43,-28.54
2024-03,ROW,P12M,4038.97,-57.05
2024-04,US,P1M,36090.14,-845.58
2024-04,US,P3M,13957.73,-197.92
2024-04,US,P12M,15347.96,-237.34
2024-04,GB,P1M,8999.13,-203.91
2024-04,GB,P3M,3697.4,-42.01
2024-04,GB,P12M,3752.89,-25.0
2024-04,DE,P1M,8074.32,-246.4
2024-04,DE,P3M,3079.72,-63.5
2024-04,DE,P12M,3183.15,-70.45
2024-04,FR,P1M,4131.17,-151.34
2024-04,FR,P3M,1633.07,-8.92
2024-04,FR,P12M,1910.84,-10.7
2024-04,CA,P1M,4586.73,-114.96
2024-04,CA,P3M,1688.58,-0.0
2024-04,CA,P12M,1754.59,-26.5
2024-04,AU,P1M,3507.3,-106.28
2024-04,AU,P3M,1380.44,-18.16
2024-04,AU,P12M,1301.46,-5.45
2024-04,NL,P1M,2048.51,-11.67
2024-04,NL,P3M,863.85,-26.55
2024-04,NL,P12M,1085.37,-5.31
2024-04,CH,P1M,1378.36,-38.83
2024-04,CH,P3M,497.84,-0.0
2024-04,CH,P12M,655.54,-5.94
2024-04,SE,P1M,1292.27,-22.28
2024-04,SE,P3M,576.96,-0.0
2024-04,SE,P12M,592.18,-10.42
2024-04,ES,P1M,2785.06,-81.36
2024-04,ES,P3M,1192.9,-26.8
2024-04,ES,P12M,1111.72,-16.07
2024-04,IT,P1M,2670.91,-80.22
2024-04,IT,P3M,1104.09,-8.78
2024-04,IT,P12M,1203.89,-15.79
2024-04,PL,P1M,1800.1,-45.44
2024-04,PL,P3M,613.73,-8.71
2024-04,PL,P12M,755.15,-5.22
2024-04,JP,P1M,1358.05,-70.85
2024-04,JP,P3M,644.81,-27.25
2024-04,JP,P12M,658.9,-16.34
2024-04,BR,P1M,1991.8,-86.6
2024-04,BR,P3M,1236.86,-38.06
2024-04,BR,P12M,1648.68,-11.41
2024-04,MX,P1M,1948.5,-22.4
2024-04,MX,P3M,792.31,-0.0
2024-04,MX,P12M,1259.97,-20.66
2024-04,IN,P1M,1497.15,-44.03
2024-04,IN,P3M,694.22,-0.0
2024-04,IN,P12M,852.81,-0.0
2024-04,ROW,P1M,7125.94,-49.49
2024-04,ROW,P3M,3215.83,-19.03
2024-04,ROW,P12M,4957.44,-28.52
2024-05,US,P1M,39827.83,-1029.4
2024-05,US,P3M,15437.38,-179.07
2024-05,US,P12M,18246.9,-214.74
2024-05,GB,P1M,10111.59,-300.11
2024-05,GB,P3M,4203.42,-31.57
2024-05,GB,P12M,4604.91,-50.24
2024-05,DE,P1M,9180.52,-152.91
2024-05,DE,P3M,3236.03,-45.22
2024-05,DE,P12M,3760.28,-16.32
2024-05,FR,P1M,4914.77,-163.53
2024-05,FR,P3M,1778.05,-9.0
2024-05,FR,P12M,2196.92,-10.79
2024-05,CA,P1M,4839.64,-126.45
2024-05,CA,P3M,1971.48,-70.73
2024-05,CA,P12M,2088.55,-15.9
2024-05,AU,P1M,3684.44,-106.28
2024-05,AU,P3M,1571.15,-27.25
2024-05,AU,P12M,1557.4,-32.67
2024-05,NL,P1M,2669.18,-104.35
2024-05,NL,P3M,918.08,-0.0
2024-05,NL,P12M,1278.06,-10.7
2024-05,CH,P1M,1467.87,-51.96
2024-05,CH,P3M,578.03,-29.8
2024-05,CH,P12M,793.36,-5.99
2024-05,SE,P1M,1550.26,-67.22
2024-05,SE,P3M,775.89,-34.56
2024-05,SE,P12M,695.75,-0.0
2024-05,ES,P1M,2808.44,-104.25
2024-05,ES,P3M,1229.22,-35.4
2024-05,ES,P12M,1288.33,-26.67
2024-05,IT,P1M,3096.19,-115.1
2024-05,IT,P3M,1308.44,-0.0
2024-05,IT,P12M,1416.32,-15.92
2024-05,PL,P1M,2009.29,-45.57
2024-05,PL,P3M,675.54,-17.41
2024-05,PL,P12M,928.92,-15.79
2024-05,JP,P1M,1759.55,-47.24
2024-05,JP,P3M,672.05,-18.16
2024-05,JP,P12M,784.15,-5.45
2024-05,BR,P1M,2499.03,-24.74
2024-05,BR,P3M,1303.46,-19.03
2024-05,BR,P12M,1979.55,-28.52
2024-05,MX,P1M,1802.92,-33.59
2024-05,MX,P3M,749.25,-0.0
2024-05,MX,P12M,1502.66,-15.49
2024-05,IN,P1M,1596.23,-33.03
2024-05,IN,P3M,761.95,-0.0
2024-05,IN,P12M,1050.79,-0.0
2024-05,ROW,P1M,8115.66,-235.06
2024-05,ROW,P3M,3910.37,-66.6
2024-05,ROW,P12M,6024.23,-68.46
2024-06,US,P1M,42401.32,-1041.65
2024-06,US,P3M,17152.64,-179.07
2024-06,US,P12M,21264.5,-180.83
2024-06,GB,P1M,10855.52,-302.16
2024-06,GB,P3M,4552.77,-21.16
2024-06,GB,P12M,5328.5,-44.34
2024-06,DE,P1M,9725.34,-247.2
2024-06,DE,P3M,3587.74,-36.22
2024-06,DE,P12M,4383.06,-16.25
2024-06,FR,P1M,5066.75,-151.58
2024-06,FR,P3M,2141.15,-8.96
2024-06,FR,P12M,2508.39,-37.6
2024-06,CA,P1M,5345.44,-160.94
2024-06,CA,P3M,2121.77,-26.52
2024-06,CA,P12M,2380.1,-5.3
2024-06,AU,P1M,4003.28,-59.05
2024-06,AU,P3M,1879.94,-36.33
2024-06,AU,P12M,1846.01,-21.78
2024-06,NL,P1M,2795.45,-81.02
2024-06,NL,P3M,1146.33,-26.73
2024-06,NL,P12M,1475.1,-26.68
2024-06,CH,P1M,1254.2,-25.92
2024-06,CH,P3M,726.06,-9.94
2024-06,CH,P12M,936.42,-5.96
2024-06,SE,P1M,1576.63,-67.14
2024-06,SE,P3M,774.15,-0.0
2024-06,SE,P12M,819.5,-5.16
2024-06,ES,P1M,3026.48,-23.16
2024-06,ES,P3M,1412.39,-0.0
2024-06,ES,P12M,1490.69,-10.65
2024-06,IT,P1M,3196.43,-103.32
2024-06,IT,P3M,1410.93,-17.62
2024-06,IT,P12M,1580.02,-0.0
2024-06,PL,P1M,2170.45,-45.56
2024-06,PL,P3M,804.24,-26.3
2024-06,PL,P12M,1122.73,-5.24
2024-06,JP,P1M,1783.17,-47.24
2024-06,JP,P3M,599.4,-9.08
2024-06,JP,P12M,887.61,-0.0
2024-06,BR,P1M,2907.29,-148.46
2024-06,BR,P3M,1455.69,-9.51
2024-06,BR,P12M,2207.74,-17.11
2024-06,MX,P1M,1858.91,-33.59
2024-06,MX,P3M,835.37,-25.84
2024-06,MX,P12M,1698.89,-15.49
2024-06,IN,P1M,1761.36,-55.04
2024-06,IN,P3M,914.34,-33.86
2024-06,IN,P12M,1284.3,-0.0
2024-06,ROW,P1M,7979.57,-272.17
2024-06,ROW,P3M,4424.14,-28.54
2024-06,ROW,P12M,6936.99,-62.75
2024-07,US,P1M,46249.3,-1323.51
2024-07,US,P3M,19471.08,-386.41
2024-07,US,P12M,25011.08,-186.48
2024-07,GB,P1M,12236.52,-375.05
2024-07,GB,P3M,5018.05,-32.12
2024-07,GB,P12M,6240.53,-76.73
2024-07,DE,P1M,10401.13,-365.68
2024-07,DE,P3M,4045.6,-27.3
2024-07,DE,P12M,5174.36,-21.83
2024-07,FR,P1M,5620.73,-163.93
2024-07,FR,P3M,2311.74,-17.92
2024-07,FR,P12M,2974.01,-37.8
2024-07,CA,P1M,5724.8,-218.42
2024-07,CA,P3M,2466.56,-17.68
2024-07,CA,P12M,2751.16,-42.41
2024-07,AU,P1M,4511.07,-94.47
2024-07,AU,P3M,2043.41,-72.65
2024-07,AU,P12M,2145.51,-21.78
2024-07,NL,P1M,2781.32,-81.12
2024-07,NL,P3M,1257.39,-0.0
2024-07,NL,P12M,1689.88,-0.0
2024-07,CH,P1M,1654.31,-52.01
2024-07,CH,P3M,838.88,-20.04
2024-07,CH,P12M,1080.63,-0.0
2024-07,SE,P1M,1678.47,-56.24
2024-07,SE,P3M,794.83,-17.33
2024-07,SE,P12M,959.79,-5.19
2024-07,ES,P1M,3654.12,-69.65
2024-07,ES,P3M,1641.68,-44.62
2024-07,ES,P12M,1839.57,-5.37
2024-07,IT,P1M,3820.38,-92.25
2024-07,IT,P3M,1566.48,-26.63
2024-07,IT,P12M,2011.12,-10.64
2024-07,PL,P1M,2278.17,-91.33
2024-07,PL,P3M,956.34,-8.8
2024-07,PL,P12M,1286.42,-5.28
2024-07,JP,P1M,1854.03,-82.66
2024-07,JP,P3M,699.3,-18.16
2024-07,JP,P12M,1078.2,-5.45
2024-07,BR,P1M,3117.6,-86.6
2024-07,BR,P3M,1636.46,-9.51
2024-07,BR,P12M,2704.06,-28.52
2024-07,MX,P1M,2038.09,-55.99
2024-07,MX,P3M,921.49,-8.61
2024-07,MX,P12M,1988.06,-15.49
2024-07,IN,P1M,1970.52,-22.02
2024-07,IN,P3M,1024.4,-8.47
2024-07,IN,P12M,1553.34,-15.23
2024-07,ROW,P1M,9389.91,-173.2
2024-07,ROW,P3M,4833.26,-57.09
2024-07,ROW,P12M,8055.12,-57.05
2024-08,US,P1M,48994.36,-1249.98
2024-08,US,P3M,21007.27,-235.61
2024-08,US,P12M,28424.25,-209.08
2024-08,GB,P1M,12648.82,-209.51
2024-08,GB,P3M,5473.85,-75.41
2024-08,GB,P12M,7042.02,-32.3
2024-08,DE,P1M,10828.65,-155.5
2024-08,DE,P3M,4354.72,-64.7
2024-08,DE,P12M,5933.96,-33.08
2024-08,FR,P1M,5983.0,-130.73
2024-08,FR,P3M,2644.58,-45.26
2024-08,FR,P12M,3430.71,-21.81
2024-08,CA,P1M,5782.27,-114.96
2024-08,CA,P3M,2625.69,-26.52
2024-08,CA,P12M,3132.82,-26.5
2024-08,AU,P1M,5266.85,-141.71
2024-08,AU,P3M,2179.64,-9.08
2024-08,AU,P12M,2488.57,-16.34
2024-08,NL,P1M,3475.03,-70.37
2024-08,NL,P3M,1390.59,-17.9
2024-08,NL,P12M,1907.9,-16.18
2024-08,CH,P1M,1772.86,-26.26
2024-08,CH,P3M,924.66,-0.0
2024-08,CH,P12M,1294.16,-18.11
2024-08,SE,P1M,1807.77,-56.68
2024-08,SE,P3M,773.98,-8.8
2024-08,SE,P12M,1070.67,-20.78
2024-08,ES,P1M,3947.82,-117.29
2024-08,ES,P3M,1731.05,-9.09
2024-08,ES,P12M,2090.38,-21.46
2024-08,IT,P1M,3880.29,-140.68
2024-08,IT,P3M,1604.75,-9.02
2024-08,IT,P12M,2292.39,-10.64
2024-08,PL,P1M,2465.06,-69.41
2024-08,PL,P3M,1067.69,-8.94
2024-08,PL,P12M,1447.35,-15.92
2024-08,JP,P1M,2184.68,-35.43
2024-08,JP,P3M,708.38,-9.08
2024-08,JP,P12M,1230.67,-0.0
2024-08,BR,P1M,3501.11,-123.71
2024-08,BR,P3M,1703.06,-19.03
2024-08,BR,P12M,3086.28,-22.82
2024-08,MX,P1M,2575.6,-33.59
2024-08,MX,P3M,1162.63,-0.0
2024-08,MX,P12M,2287.56,-15.49
2024-08,IN,P1M,2102.62,-22.02
2024-08,IN,P3M,1159.86,-0.0
2024-08,IN,P12M,1761.47,-10.15
2024-08,ROW,P1M,9872.4,-185.57
2024-08,ROW,P3M,5071.11,-66.6
2024-08,ROW,P12M,9042.05,-62.75
2024-09,US,P1M,52303.13,-1409.29
2024-09,US,P3M,22468.08,-320.43
2024-09,US,P12M,31848.72,-220.39
2024-09,GB,P1M,13366.15,-413.19
2024-09,GB,P3M,5950.19,-54.56
2024-09,GB,P12M,7814.8,-32.99
2024-09,DE,P1M,11133.17,-374.76
2024-09,DE,P3M,4379.26,-64.95
2024-09,DE,P12M,6694.86,-44.64
2024-09,FR,P1M,6374.08,-95.89
2024-09,FR,P3M,2660.63,-36.66
2024-09,FR,P12M,3802.51,-44.07
2024-09,CA,P1M,6449.02,-80.47
2024-09,CA,P3M,2855.55,-26.52
2024-09,CA,P12M,3620.5,-15.9
2024-09,AU,P1M,5196.0,-82.66
2024-09,AU,P3M,2379.44,-72.65
2024-09,AU,P12M,2782.63,-21.78
2024-09,NL,P1M,3423.1,-154.41
2024-09,NL,P3M,1388.36,-36.53
2024-09,NL,P12M,2172.08,-11.0
2024-09,CH,P1M,2256.23,-66.63
2024-09,CH,P3M,933.39,-30.62
2024-09,CH,P12M,1509.83,-18.36
2024-09,SE,P1M,2170.56,-57.73
2024-09,SE,P3M,904.52,-17.6
2024-09,SE,P12M,1214.67,-0.0
2024-09,ES,P1M,4246.08,-142.7
2024-09,ES,P3M,1913.58,-27.35
2024-09,ES,P12M,2431.64,-22.0
2024-09,IT,P1M,3974.68,-94.1
2024-09,IT,P3M,1681.7,-36.23
2024-09,IT,P12M,2559.81,-10.81
2024-09,PL,P1M,2546.11,-70.19
2024-09,PL,P3M,1133.85,-17.88
2024-09,PL,P12M,1642.31,-10.82
2024-09,JP,P1M,2078.4,-70.85
2024-09,JP,P3M,890.02,-0.0
2024-09,JP,P12M,1421.26,-5.45
2024-09,BR,P1M,3562.97,-86.6
2024-09,BR,P3M,1817.23,-38.06
2024-09,BR,P12M,3422.86,-22.82
2024-09,MX,P1M,2732.38,-100.78
2024-09,MX,P3M,1265.97,-0.0
2024-09,MX,P12M,2525.09,-10.33
2024-09,IN,P1M,2278.75,-44.03
2024-09,IN,P3M,1210.65,-0.0
2024-09,IN,P12M,1923.91,-5.08
2024-09,ROW,P1M,10119.83,-309.29
2024-09,ROW,P3M,5537.31,-66.6
2024-09,ROW,P12M,10183.0,-28.52
2024-10,US,P1M,56555.52,-1372.53
2024-10,US,P3M,23881.75,-263.89
2024-10,US,P12M,35211.03,-237.34
2024-10,GB,P1M,14380.9,-355.01
2024-10,GB,P3M,6291.65,-54.89
2024-10,GB,P12M,8728.32,-71.83
2024-10,DE,P1M,12064.98,-359.24
2024-10,DE,P3M,4679.72,-73.91
2024-10,DE,P12M,7396.24,-60.56
2024-10,FR,P1M,6725.57,-166.55
2024-10,FR,P3M,2855.9,-9.07
2024-10,FR,P12M,4242.72,-5.44
2024-10,CA,P1M,7081.27,-137.95
2024-10,CA,P3M,2988.16,-17.68
2024-10,CA,P12M,4018.07,-21.2
2024-10,AU,P1M,5975.4,-141.71
2024-10,AU,P3M,2533.83,-27.25
2024-10,AU,P12M,3152.92,-10.89
2024-10,NL,P1M,3709.45,-70.89
2024-10,NL,P3M,1426.35,-9.0
2024-10,NL,P12M,2349.86,-27.19
2024-10,CH,P1M,2344.57,-92.19
2024-10,CH,P3M,914.78,-20.15
2024-10,CH,P12M,1684.79,-0.0
2024-10,SE,P1M,2344.75,-45.75
2024-10,SE,P3M,1019.36,-43.89
2024-10,SE,P12M,1360.86,-15.87
2024-10,ES,P1M,4551.98,-82.36
2024-10,ES,P3M,1890.18,-18.0
2024-10,ES,P12M,2598.43,-0.0
2024-10,IT,P1M,4445.03,-104.9
2024-10,IT,P3M,1773.57,-27.12
