month,country_code,txn_type,product_id,transactions,gross_usd,tax_usd,net_usd,processing_fees_usd
2024-01,AU,New subscription,P12M,42,3018.96,274.41,2744.55,168.99
2024-01,AU,New subscription,P1M,125,1623.75,147.56,1476.19,125.21
2024-01,AU,New subscription,P3M,35,1048.95,95.3,953.65,61.94
2024-01,AU,Refund - subscription,P12M,3,-215.64,-19.59,-196.05,0.0
2024-01,AU,Refund - subscription,P1M,4,-51.96,-4.72,-47.24,0.0
2024-01,AU,Refund - subscription,P3M,2,-59.94,-5.44,-54.5,0.0
2024-01,AU,Refund - token pack,TP600,1,-49.99,-4.54,-45.45,0.0
2024-01,AU,Renewal,P1M,91,1182.09,107.39,1074.7,95.61
2024-01,AU,Renewal,P3M,5,149.85,13.6,136.25,10.5
2024-01,AU,Token pack,TP100,4,39.96,3.64,36.32,3.6
2024-01,AU,Token pack,TP1300,4,399.96,36.36,363.6,25.2
2024-01,AU,Token pack,TP275,4,99.96,9.08,90.88,7.2
2024-01,AU,Token pack,TP2800,2,399.98,36.36,363.62,24.6
2024-01,AU,Token pack,TP600,6,299.94,27.24,272.7,17.25
2024-01,BR,New subscription,P12M,46,3306.48,157.46,3149.02,190.96
2024-01,BR,New subscription,P1M,72,935.28,44.59,890.69,67.09
2024-01,BR,New subscription,P3M,38,1138.86,54.23,1084.63,68.22
2024-01,BR,Refund - subscription,P1M,2,-25.98,-1.24,-24.74,0.0
2024-01,BR,Renewal,P1M,62,805.38,38.41,766.97,57.18
2024-01,BR,Renewal,P3M,3,89.91,4.29,85.62,4.65
2024-01,BR,Token pack,TP100,6,59.94,2.88,57.06,4.65
2024-01,BR,Token pack,TP1300,2,199.98,9.52,190.46,12.6
2024-01,BR,Token pack,TP275,3,74.97,3.57,71.4,2.54
2024-01,BR,Token pack,TP600,3,149.97,7.14,142.83,7.35
2024-01,CA,New subscription,P12M,59,4240.92,487.93,3752.99,250.95
2024-01,CA,New subscription,P1M,141,1831.59,210.72,1620.87,141.61
2024-01,CA,New subscription,P3M,64,1918.08,220.7,1697.38,114.53
2024-01,CA,Refund - subscription,P12M,3,-215.64,-24.81,-190.83,0.0
2024-01,CA,Refund - subscription,P1M,3,-38.97,-4.47,-34.5,0.0
2024-01,CA,Refund - subscription,P3M,2,-59.94,-6.9,-53.04,0.0
2024-01,CA,Renewal,P12M,1,71.88,8.27,63.61,1.08
2024-01,CA,Renewal,P1M,97,1260.03,144.92,1115.11,97.67
2024-01,CA,Renewal,P3M,9,269.73,31.05,238.68,18.9
2024-01,CA,Token pack,TP100,16,159.84,18.4,141.44,13.65
2024-01,CA,Token pack,TP1300,3,299.97,34.5,265.47,18.9
2024-01,CA,Token pack,TP275,6,149.94,17.22,132.72,10.8
2024-01,CA,Token pack,TP2800,2,399.98,46.02,353.96,24.6
2024-01,CA,Token pack,TP600,1,49.99,5.75,44.24,3.3
2024-01,CH,New subscription,P12M,21,1646.82,123.43,1523.39,83.96
2024-01,CH,New subscription,P1M,49,694.41,52.02,642.39,48.93
2024-01,CH,New subscription,P3M,10,327.0,24.5,302.5,19.84
2024-01,CH,Refund - subscription,P1M,3,-42.51,-3.18,-39.33,0.0
2024-01,CH,Refund - token pack,TP600,1,-54.54,-4.09,-50.45,0.0
2024-01,CH,Renewal,P12M,2,156.84,11.76,145.08,5.84
2024-01,CH,Renewal,P1M,36,510.15,38.19,471.96,37.92
2024-01,CH,Renewal,P3M,1,32.7,2.45,30.25,2.15
2024-01,CH,Token pack,TP100,3,32.7,2.46,30.24,2.06
2024-01,CH,Token pack,TP275,4,109.05,8.17,100.88,7.4
2024-01,CH,Token pack,TP600,1,54.54,4.09,50.45,3.35
2024-01,DE,New subscription,P12M,108,8469.42,1352.22,7117.2,461.82
2024-01,DE,New subscription,P1M,264,3741.44,597.35,3144.06,277.12
2024-01,DE,New subscription,P3M,67,2190.69,349.74,1840.95,130.74
2024-01,DE,Refund - subscription,P12M,5,-392.1,-62.6,-329.5,0.0
2024-01,DE,Refund - subscription,P1M,13,-184.21,-29.4,-154.83,0.0
2024-01,DE,Refund - subscription,P3M,1,-32.7,-5.22,-27.48,0.0
2024-01,DE,Renewal,P12M,2,156.84,25.04,131.8,9.32
2024-01,DE,Renewal,P1M,181,2565.14,409.54,2155.65,193.48
2024-01,DE,Renewal,P3M,22,719.34,114.84,604.5,47.3
2024-01,DE,Token pack,TP100,27,294.3,46.98,247.32,24.07
2024-01,DE,Token pack,TP1300,8,872.72,139.36,733.36,46.09
2024-01,DE,Token pack,TP275,11,299.89,47.88,252.01,18.91
2024-01,DE,Token pack,TP2800,4,872.76,139.36,733.4,49.4
2024-01,DE,Token pack,TP600,8,436.32,69.68,366.64,26.8
2024-01,ES,New subscription,P12M,39,3058.38,530.79,2527.59,167.9
2024-01,ES,New subscription,P1M,93,1317.97,228.78,1089.2,93.14
2024-01,ES,New subscription,P3M,34,1111.68,192.91,918.8,66.45
2024-01,ES,Refund - subscription,P12M,1,-78.42,-13.61,-64.81,0.0
2024-01,ES,Refund - subscription,P1M,5,-70.85,-12.3,-58.55,0.0
2024-01,ES,Refund - subscription,P3M,3,-98.09,-17.02,-81.07,0.0
2024-01,ES,Refund - token pack,TP100,1,-10.9,-1.89,-9.01,0.0
2024-01,ES,Renewal,P12M,1,78.42,13.61,64.81,4.66
2024-01,ES,Renewal,P1M,84,1190.44,206.64,983.81,87.56
2024-01,ES,Renewal,P3M,10,327.0,56.7,270.2,21.5
2024-01,ES,Token pack,TP100,9,98.1,17.01,81.09,8.55
2024-01,ES,Token pack,TP1300,2,218.18,37.86,180.32,12.7
2024-01,ES,Token pack,TP275,2,54.52,9.46,45.06,3.7
2024-01,ES,Token pack,TP2800,1,218.19,37.87,180.32,12.35
2024-01,ES,Token pack,TP600,2,109.08,18.94,90.14,6.7
2024-01,FR,New subscription,P12M,52,4077.87,679.64,3398.22,225.03
2024-01,FR,New subscription,P1M,125,1771.5,295.25,1476.25,129.29
2024-01,FR,New subscription,P3M,45,1471.37,245.25,1226.2,86.79
2024-01,FR,Refund - subscription,P12M,3,-235.26,-39.21,-196.05,0.0
2024-01,FR,Refund - subscription,P1M,3,-42.51,-7.08,-35.43,0.0
2024-01,FR,Refund - subscription,P3M,3,-98.09,-16.35,-81.75,0.0
2024-01,FR,Renewal,P12M,2,156.84,26.14,130.7,9.32
2024-01,FR,Renewal,P1M,104,1473.86,245.62,1228.24,105.56
2024-01,FR,Renewal,P3M,9,294.3,49.05,245.25,17.69
2024-01,FR,Token pack,TP100,8,87.2,14.56,72.64,7.6
2024-01,FR,Token pack,TP1300,4,436.36,72.72,363.64,25.4
2024-01,FR,Token pack,TP275,6,163.57,27.25,136.32,11.1
2024-01,FR,Token pack,TP2800,3,654.57,109.08,545.46,37.05
2024-01,FR,Token pack,TP600,4,218.16,36.36,181.8,13.4
2024-01,GB,New subscription,P12M,99,9044.64,1507.42,7537.15,460.01
2024-01,GB,New subscription,P1M,255,4210.05,701.72,3508.44,301.62
2024-01,GB,New subscription,P3M,81,3085.47,514.28,2571.2,186.87
2024-01,GB,Refund - subscription,P12M,2,-182.72,-30.46,-152.26,0.0
2024-01,GB,Refund - subscription,P1M,17,-280.67,-46.77,-233.92,0.0
2024-01,GB,Refund - subscription,P3M,3,-114.27,-19.05,-95.22,0.0
2024-01,GB,Refund - token pack,TP100,1,-12.7,-2.12,-10.58,0.0
2024-01,GB,Refund - token pack,TP1300,1,-127.09,-21.18,-105.91,0.0
2024-01,GB,Renewal,P12M,5,456.8,76.15,380.65,26.85
