date,feature_id,user_type,active_users,units,tokens_consumed,compute_cost_usd,content_cost_usd,p95_latency_ms,error_rate,cache_hit_rate
2024-01-01,F01,Premium,4138,176351,0,193.99,0.0,2102.0,0.0028,0.0
2024-01-02,F01,Premium,3842,164037,0,180.44,0.0,2029.0,0.0061,0.0
2024-01-03,F01,Premium,3919,165776,0,182.35,0.0,2095.0,0.0036,0.0
2024-01-04,F01,Premium,4061,172797,0,190.08,0.0,1940.0,0.0031,0.0
2024-01-05,F01,Premium,4219,177330,0,195.06,0.0,1979.0,0.0042,0.0
2024-01-06,F01,Premium,4444,177913,0,195.7,0.0,2046.0,0.0048,0.0
2024-01-07,F01,Premium,4582,192379,0,211.62,0.0,1736.0,0.0036,0.0
2024-01-08,F01,Premium,4049,172773,0,190.05,0.0,1787.0,0.0038,0.0
2024-01-09,F01,Premium,3928,163599,0,179.96,0.0,1831.0,0.0048,0.0
2024-01-10,F01,Premium,3899,162913,0,179.2,0.0,1899.0,0.003,0.0
2024-01-11,F01,Premium,4377,176994,0,194.69,0.0,1807.0,0.0046,0.0
2024-01-12,F01,Premium,4111,184788,0,203.27,0.0,1885.0,0.0031,0.0
2024-01-13,F01,Premium,4214,178881,0,196.77,0.0,1804.0,0.0037,0.0
2024-01-14,F01,Premium,4725,193096,0,212.41,0.0,1798.0,0.0045,0.0
2024-01-15,F01,Premium,3802,158099,0,173.91,0.0,1771.0,0.0035,0.0
2024-01-16,F01,Premium,3982,163033,0,179.34,0.0,1977.0,0.0038,0.0
2024-01-17,F01,Premium,3943,159189,0,175.11,0.0,1788.0,0.0045,0.0
2024-01-18,F01,Premium,3871,176317,0,193.95,0.0,1791.0,0.0035,0.0
2024-01-19,F01,Premium,4054,170081,0,187.09,0.0,1639.0,0.0035,0.0
2024-01-20,F01,Premium,4211,187480,0,206.23,0.0,1761.0,0.004,0.0
2024-01-21,F01,Premium,4439,175867,0,193.45,0.0,1763.0,0.0035,0.0
2024-01-22,F01,Premium,3983,169036,0,185.94,0.0,1860.0,0.0028,0.0
2024-01-23,F01,Premium,4217,161873,0,178.06,0.0,1891.0,0.0041,0.0
2024-01-24,F01,Premium,3964,162787,0,179.07,0.0,1832.0,0.0041,0.0
2024-01-25,F01,Premium,3957,170007,0,187.01,0.0,1706.0,0.0044,0.0
2024-01-26,F01,Premium,4504,177920,0,195.71,0.0,1834.0,0.0043,0.0
2024-01-27,F01,Premium,4667,185149,0,203.66,0.0,2035.0,0.0032,0.0
2024-01-28,F01,Premium,4343,179356,0,197.29,0.0,1747.0,0.0048,0.0
2024-01-29,F01,Premium,3820,157903,0,173.69,0.0,1790.0,0.0038,0.0
2024-01-30,F01,Premium,4098,165634,0,182.2,0.0,1827.0,0.0043,0.0
2024-01-31,F01,Premium,3958,160066,0,176.07,0.0,1770.0,0.0038,0.0
2024-02-01,F01,Premium,5279,218843,0,240.73,0.0,1650.0,0.0029,0.0
2024-02-02,F01,Premium,5893,237518,0,261.27,0.0,1772.0,0.0027,0.0
2024-02-03,F01,Premium,5880,245547,0,270.1,0.0,1854.0,0.0041,0.0
2024-02-04,F01,Premium,6119,246217,0,270.84,0.0,1790.0,0.0036,0.0
2024-02-05,F01,Premium,5717,230985,0,254.08,0.0,1707.0,0.0029,0.0
2024-02-06,F01,Premium,5304,218862,0,240.75,0.0,1837.0,0.0037,0.0
2024-02-07,F01,Premium,5838,220967,0,243.06,0.0,2131.0,0.0036,0.0
2024-02-08,F01,Premium,5646,222035,0,244.24,0.0,2090.0,0.0023,0.0
2024-02-09,F01,Premium,5401,228707,0,251.58,0.0,2026.0,0.0052,0.0
2024-02-10,F01,Premium,5783,238074,0,261.88,0.0,1947.0,0.0029,0.0
2024-02-11,F01,Premium,5453,246796,0,271.48,0.0,1967.0,0.0048,0.0
2024-02-12,F01,Premium,5694,223906,0,246.3,0.0,2140.0,0.0054,0.0
2024-02-13,F01,Premium,5048,215853,0,237.44,0.0,1919.0,0.0028,0.0
2024-02-14,F01,Premium,4830,207665,0,228.43,0.0,1904.0,0.0048,0.0
2024-02-15,F01,Premium,5579,224680,0,247.15,0.0,2110.0,0.0038,0.0
2024-02-16,F01,Premium,5527,230126,0,253.14,0.0,1852.0,0.0041,0.0
2024-02-17,F01,Premium,5832,240745,0,264.82,0.0,1690.0,0.0045,0.0
2024-02-18,F01,Premium,5976,245955,0,270.55,0.0,1809.0,0.0044,0.0
2024-02-19,F01,Premium,5410,235069,0,258.58,0.0,1748.0,0.0036,0.0
2024-02-20,F01,Premium,5172,217044,0,238.75,0.0,1782.0,0.0031,0.0
2024-02-21,F01,Premium,5509,223998,0,246.4,0.0,1808.0,0.0063,0.0
2024-02-22,F01,Premium,5056,221576,0,243.73,0.0,2005.0,0.0041,0.0
2024-02-23,F01,Premium,5621,244845,0,269.33,0.0,1762.0,0.0042,0.0
2024-02-24,F01,Premium,6202,252373,0,277.61,0.0,1706.0,0.0084,0.0
2024-02-25,F01,Premium,6034,246214,0,270.84,0.0,1741.0,0.0036,0.0
2024-02-26,F01,Premium,5464,229261,0,252.19,0.0,1933.0,0.0042,0.0
2024-02-27,F01,Premium,5398,217001,0,238.7,0.0,1878.0,0.0031,0.0
2024-02-28,F01,Premium,5831,227526,0,250.28,0.0,1717.0,0.0048,0.0
2024-02-29,F01,Premium,5151,221810,0,243.99,0.0,1684.0,0.0037,0.0
2024-03-01,F01,Premium,6591,287022,0,315.72,0.0,1746.0,0.0055,0.0
2024-03-02,F01,Premium,6945,287454,0,316.2,0.0,1659.0,0.0038,0.0
2024-03-03,F01,Premium,6715,292038,0,321.24,0.0,1895.0,0.003,0.0
2024-03-04,F01,Premium,6930,277495,0,305.24,0.0,1754.0,0.0031,0.0
2024-03-05,F01,Premium,6387,263875,0,290.26,0.0,1866.0,0.0049,0.0
2024-03-06,F01,Premium,6548,280918,0,309.01,0.0,1729.0,0.0036,0.0
2024-03-07,F01,Premium,6339,259802,0,285.78,0.0,1850.0,0.0046,0.0
2024-03-08,F01,Premium,6708,303664,0,334.03,0.0,1843.0,0.0042,0.0
2024-03-09,F01,Premium,7319,302038,0,332.24,0.0,1808.0,0.0053,0.0
2024-03-10,F01,Premium,7153,298633,0,328.5,0.0,1775.0,0.0032,0.0
2024-03-11,F01,Premium,6594,271022,0,298.12,0.0,1893.0,0.0031,0.0
2024-03-12,F01,Premium,6662,274113,0,301.52,0.0,1919.0,0.0041,0.0
2024-03-13,F01,Premium,6716,267133,0,293.85,0.0,1802.0,0.0037,0.0
2024-03-14,F01,Premium,6278,265140,0,291.65,0.0,1805.0,0.0029,0.0
2024-03-15,F01,Premium,7089,291563,0,320.72,0.0,1803.0,0.0028,0.0
2024-03-16,F01,Premium,6646,280269,0,308.3,0.0,1774.0,0.0025,0.0
2024-03-17,F01,Premium,7310,293079,0,322.39,0.0,1713.0,0.0031,0.0
2024-03-18,F01,Premium,6856,287096,0,315.81,0.0,1765.0,0.0032,0.0
2024-03-19,F01,Premium,6060,267818,0,294.6,0.0,1791.0,0.005,0.0
2024-03-20,F01,Premium,6541,280115,0,308.13,0.0,1891.0,0.0044,0.0
2024-03-21,F01,Premium,7243,291135,0,320.25,0.0,1983.0,0.0045,0.0
2024-03-22,F01,Premium,6751,294504,0,323.95,0.0,1765.0,0.0023,0.0
2024-03-23,F01,Premium,6937,285253,0,313.78,0.0,1744.0,0.0039,0.0
2024-03-24,F01,Premium,6970,290408,0,319.45,0.0,1768.0,0.0031,0.0
2024-03-25,F01,Premium,5839,268925,0,295.82,0.0,1860.0,0.0053,0.0
2024-03-26,F01,Premium,6969,275877,0,303.47,0.0,1661.0,0.0047,0.0
2024-03-27,F01,Premium,6749,273513,0,300.86,0.0,1691.0,0.0039,0.0
2024-03-28,F01,Premium,6704,282456,0,310.7,0.0,1512.0,0.0042,0.0
2024-03-29,F01,Premium,6705,285376,0,313.91,0.0,1954.0,0.0026,0.0
2024-03-30,F01,Premium,6851,300129,0,330.14,0.0,1784.0,0.0055,0.0
2024-03-31,F01,Premium,7337,291230,0,320.35,0.0,1754.0,0.0032,0.0
2024-04-01,F01,Premium,7895,322276,0,354.5,0.0,1761.0,0.0035,0.0
2024-04-02,F01,Premium,8226,327007,0,359.71,0.0,1762.0,0.0039,0.0
2024-04-03,F01,Premium,7984,312816,0,344.1,0.0,1770.0,0.003,0.0
2024-04-04,F01,Premium,8794,344850,0,379.33,0.0,1800.0,0.0034,0.0
2024-04-05,F01,Premium,7916,334838,0,368.32,0.0,1795.0,0.0072,0.0
2024-04-06,F01,Premium,8306,348280,0,383.11,0.0,1869.0,0.0051,0.0
2024-04-07,F01,Premium,8178,359127,0,395.04,0.0,1806.0,0.0045,0.0
2024-04-08,F01,Premium,7331,312750,0,344.02,0.0,1763.0,0.0034,0.0
2024-04-09,F01,Premium,7553,318216,0,350.04,0.0,1931.0,0.0044,0.0
2024-04-10,F01,Premium,8237,328812,0,361.69,0.0,1885.0,0.0043,0.0
2024-04-11,F01,Premium,7816,314596,0,346.06,0.0,1827.0,0.0022,0.0
2024-04-12,F01,Premium,7896,321879,0,354.07,0.0,1777.0,0.0055,0.0
2024-04-13,F01,Premium,8502,358602,0,394.46,0.0,1705.0,0.0033,0.0
2024-04-14,F01,Premium,8042,332248,0,365.47,0.0,1888.0,0.0032,0.0
2024-04-15,F01,Premium,7873,320496,0,352.55,0.0,1709.0,0.0054,0.0
